comparison_type,ssim,features2d,stage,link1_change,link2_change,ssim_exp,ssim_exp_scale,group
charts,94.7,100,3,BrandonAvilanR,BrandonAvilanR,5.3,0.053,0
charts,71.4,100,3,alejosaur,alejosaur,28.6,0.286,0
charts,96.5,100,3,cglaitong,cglaitong,3.5,0.035,0
charts,96.5,100,3,cglaitong,cglaitong,3.5,0.035,0
charts,96.5,100,3,cglaitong,cglaitong,3.5,0.035,0
charts,96.5,100,3,cglaitong,cglaitong,3.5,0.035,0
complete,61.7,100,3,BrandonAvilanR,BrandonAvilanR,38.3,0.383,0
complete,32.6,100,3,DSFarfanF,DSFarfanF,67.4,0.674,0
complete,20.3,100,3,DaniCastel,DaniCastel,79.7,0.797,0
complete,32.6,100,3,DaveValencia,DaveValencia,67.4,0.674,0
complete,70.9,96.7,3,JorgeTorresC,JorgeTorresC,29.1,0.291,0
complete,75.2,100,3,Orloffyeah,Orloffyeah,24.8,0.248,0
complete,0,100,3,Saariasba,Saariasba,100,1,0
complete,28.8,67.5,3,SergioLopez40,SergioLopez40,71.2,0.712,0
complete,100,100,3,alejosaur,alejosaur,0,0,0
complete,60.8,100,3,anythinglord,anythinglord,39.2,0.392,0
complete,32.6,100,3,buendiagon,buendiagon,67.4,0.674,0
complete,78.9,100,3,cglaitong,cglaitong,21.1,0.211,0
complete,58.3,88.3,3,criscapunal,criscapunal,41.7,0.417,0
complete,28.7,100,3,csalfonsol,csalfonsol,71.3,0.713,0
complete,47,98,3,daapinzonch,daapinzonch,53,0.53,0
complete,64.5,38.9,3,dcastanedar,dcastanedar,35.5,0.355,0
complete,35.4,100,3,dieguischa,dieguischa,64.6,0.646,0
complete,32.6,100,3,jaasuarezvi,jaasuarezvi,67.4,0.674,0
complete,45.8,100,3,jdsolanos,jdsolanos,54.2,0.542,0
complete,32.6,100,3,tres-xxx,tres-xxx,67.4,0.674,0
complete,32.9,96.5,3,trickyjuggler,trickyjuggler,67.1,0.671,0
simple,58.2,100,3,BrandonAvilanR,BrandonAvilanR,41.8,0.418,0
simple,32.6,100,3,DSFarfanF,DSFarfanF,67.4,0.674,0
simple,25.3,100,3,DaniCastel,DaniCastel,74.7,0.747,0
simple,32.6,100,3,DaveValencia,DaveValencia,67.4,0.674,0
