comparison_type,ssim,features2d,stage,link1_change,link2_change,ssim_exp,ssim_exp_scale,group
simple,100,100,4,ayperezc,ayperezc,0,0,2
simple,100,100,4,bfprietoc,bfprietoc,0,0,2
simple,60.1,100,4,biherrerap,biherrerap,39.9,0.399,2
simple,12.5,100,4,dahrojasca,dahrojasca,87.5,0.875,2
simple,88.7,100,4,davideperdomo,davideperdomo,11.3,0.113,2
simple,98.2,100,4,frnkbs,frnkbs,1.8,0.018,2
simple,100,100,4,gahormigag,gahormigag,0,0,2
simple,32.8,100,4,gimg1859,gimg1859,67.2,0.672,2
simple,86.9,100,4,ironhacktech2,ironhacktech2,13.1,0.131,2
simple,100,100,4,jannMorenoJ,jannMorenoJ,0,0,2
simple,41,100,4,jdgaitanf,jdgaitanf,59,0.59,2
simple,100,100,4,nikolasto,nikolasto,0,0,2
simple,96.6,100,4,pahigueraf,pahigueraf,3.4,0.034,2
simple,100,100,4,sarguellesr,sarguellesr,0,0,2
simple,100,100,4,uxjudges1,uxjudges1,0,0,2
simple,100,100,4,uxjudges,uxjudges,0,0,2
simple,100,100,4,vvargasd,vvargasd,0,0,2
maps,100,100,1,Caadiazsi,Caadiazsi,0,0,1
maps,37.4,100,1,Joacampora,Joacampora,62.6,0.626,1
maps,27.4,34.9,1,Juankmilo97,Juankmilo97,72.6,0.726,1
maps,17.3,100,1,casc3798,casc3798,82.7,0.827,1
maps,100,100,1,diefrodriguezcha,diefrodriguezcha,0,0,1
maps,100,100,1,federgolo,federgolo,0,0,1
maps,24.4,92.5,1,jaleonro,jaleonro,75.6,0.756,1
maps,26.2,100,1,jsalcinar,jsalcinar,73.8,0.738,1
maps,100,100,1,nviverosb,nviverosb,0,0,1
maps,27.4,52.5,1,olimita,olimita,72.6,0.726,1
maps,20.2,100,1,serbatero,serbatero,79.8,0.798,1
maps,100,100,1,yaochoal,yaochoal,0,0,1
complete,100,100,1,Alekzu,Alekzu,0,0,1
complete,73.4,30,1,Anvido,Anvido,26.6,0.266,1
complete,40.5,100,1,Biopeligro,Biopeligro,59.5,0.595,1
complete,100,100,1,Caadiazsi,Caadiazsi,0,0,1
complete,51.2,100,1,DavidsMartinez,DavidsMartinez,48.8,0.488,1
complete,32.4,100,1,DiegoAraque1207,DiegoAraque1207,67.6,0.676,1
complete,100,100,1,GabrielUnal,GabrielUnal,0,0,1
complete,36,100,1,Gavnic,Gavnic,64,0.64,1
complete,100,100,1,Gusgal03,Gusgal03,0,0,1
complete,81.7,100,1,Joacampora,Joacampora,18.3,0.183,1
complete,29.2,49.8,1,Juankmilo97,Juankmilo97,70.8,0.708,1
complete,19.9,16.4,1,Jufcardenasmo,Jufcardenasmo,80.1,0.801,1
complete,100,100,1,Ozai98,Ozai98,0,0,1
complete,100,100,1,Sariilan,Sariilan,0,0,1
complete,100,100,1,bsdiaza,bsdiaza,0,0,1
complete,11.9,37.7,1,casc3798,casc3798,88.1,0.881,1
complete,36.6,100,1,diefrodriguezcha,diefrodriguezcha,63.4,0.634,1
complete,27.5,100,1,facuellarg,facuellarg,72.5,0.725,1
complete,91.1,100,1,federgolo,federgolo,8.9,0.089,1
complete,90.6,100,1,garayf,garayf,9.4,0.094,1
complete,83.7,100,1,jaleonro,jaleonro,16.3,0.163,1
complete,81.6,100,1,jsalcinar,jsalcinar,18.4,0.184,1
complete,100,100,1,jssanchezo,jssanchezo,0,0,1
complete,99.2,100,1,nviverosb,nviverosb,0.8,0.008,1
complete,32.4,100,1,olimita,olimita,67.6,0.676,1
complete,44.5,100,1,sebcamacho1703,sebcamacho1703,55.5,0.555,1
complete,30.4,98,1,serbatero,serbatero,69.6,0.696,1
complete,62.6,45.3,1,xFortich,xFortich,37.4,0.374,1
complete,86.5,100,1,yaochoal,yaochoal,13.5,0.135,1
simple,100,100,1,Alekzu,Alekzu,0,0,1
simple,73.4,30,1,Anvido,Anvido,26.6,0.266,1
simple,40.5,100,1,Biopeligro,Biopeligro,59.5,0.595,1
simple,100,100,1,Caadiazsi,Caadiazsi,0,0,1
simple,51.2,100,1,DavidsMartinez,DavidsMartinez,48.8,0.488,1
simple,32.4,100,1,DiegoAraque1207,DiegoAraque1207,67.6,0.676,1
simple,100,100,1,GabrielUnal,GabrielUnal,0,0,1
simple,36,100,1,Gavnic,Gavnic,64,0.64,1
simple,100,100,1,Gusgal03,Gusgal03,0,0,1
simple,50.3,29.8,1,Joacampora,Joacampora,49.7,0.497,1
simple,44.5,38,1,Juankmilo97,Juankmilo97,55.5,0.555,1
simple,9.7,12.1,1,Jufcardenasmo,Jufcardenasmo,90.3,0.903,1
simple,100,100,1,Ozai98,Ozai98,0,0,1
simple,100,100,1,Sariilan,Sariilan,0,0,1
simple,100,100,1,bsdiaza,bsdiaza,0,0,1
simple,13.6,84.5,1,casc3798,casc3798,86.4,0.864,1
simple,39.7,100,1,diefrodriguezcha,diefrodriguezcha,60.3,0.603,1
simple,27.5,100,1,facuellarg,facuellarg,72.5,0.725,1
simple,91.1,97,1,federgolo,federgolo,8.9,0.089,1
simple,97.6,100,1,garayf,garayf,2.4,0.024,1
simple,98.4,100,1,jaleonro,jaleonro,1.6,0.016,1
simple,84.2,100,1,jsalcinar,jsalcinar,15.8,0.158,1
simple,100,100,1,jssanchezo,jssanchezo,0,0,1
simple,88.3,100,1,olimita,olimita,11.7,0.117,1
simple,10.7,100,1,sebcamacho1703,sebcamacho1703,89.3,0.893,1
simple,65.5,80.7,1,serbatero,serbatero,34.5,0.345,1
simple,96.2,66.5,1,xFortich,xFortich,3.8,0.038,1
simple,96.8,100,1,yaochoal,yaochoal,3.2,0.032,1
maps,28.4,44.8,2,Joacampora,Joacampora,71.6,0.716,1
maps,100,100,2,Juankmilo97,Juankmilo97,0,0,1
maps,100,100,2,casc3798,casc3798,0,0,1
maps,85,100,2,diefrodriguezcha,diefrodriguezcha,15,0.15,1
maps,21,43.1,2,federgolo,federgolo,79,0.79,1
maps,83.8,98.4,2,jaleonro,jaleonro,16.2,0.162,1
maps,25.9,100,2,jsalcinar,jsalcinar,74.1,0.741,1
maps,100,100,2,nviverosb,nviverosb,0,0,1
maps,100,100,2,olimita,olimita,0,0,1
maps,100,100,2,serbatero,serbatero,0,0,1
maps,22.4,100,2,xFortich,xFortich,77.6,0.776,1
maps,100,100,2,yaochoal,yaochoal,0,0,1
complete,26.9,100,2,Alekzu,Alekzu,73.1,0.731,1
complete,18.7,100,2,Anvido,Anvido,81.3,0.813,1
complete,40.5,100,2,Biopeligro,Biopeligro,59.5,0.595,1
complete,45,100,2,Caadiazsi,Caadiazsi,55,0.55,1
complete,100,100,2,DavidsMartinez,DavidsMartinez,0,0,1
complete,28.2,100,2,DiegoAraque1207,DiegoAraque1207,71.8,0.718,1
complete,38.8,100,2,GabrielUnal,GabrielUnal,61.2,0.612,1
complete,36.5,100,2,Gavnic,Gavnic,63.5,0.635,1
complete,46.9,100,2,Gusgal03,Gusgal03,53.1,0.531,1
complete,74.9,100,2,Joacampora,Joacampora,25.1,0.251,1
complete,17.9,100,2,Juankmilo97,Juankmilo97,82.1,0.821,1
complete,48.6,99,2,Jufcardenasmo,Jufcardenasmo,51.4,0.514,1
complete,19.1,32.4,2,Ozai98,Ozai98,80.9,0.809,1
complete,100,100,2,Sariilan,Sariilan,0,0,1
complete,34,100,2,bsdiaza,bsdiaza,66,0.66,1
complete,95.9,100,2,casc3798,casc3798,4.1,0.041,1
complete,85.5,100,2,diefrodriguezcha,diefrodriguezcha,14.5,0.145,1
complete,27.6,100,2,facuellarg,facuellarg,72.4,0.724,1
complete,28.5,87,2,federgolo,federgolo,71.5,0.715,1
complete,100,100,2,garayf,garayf,0,0,1
complete,99.4,100,2,jaleonro,jaleonro,0.6,0.006,1
complete,74.3,100,2,jsalcinar,jsalcinar,25.7,0.257,1
complete,100,100,2,jssanchezo,jssanchezo,0,0,1
complete,100,100,2,nviverosb,nviverosb,0,0,1
complete,98.4,100,2,olimita,olimita,1.6,0.016,1
complete,11.4,100,2,sebcamacho1703,sebcamacho1703,88.6,0.886,1
complete,99.4,100,2,serbatero,serbatero,0.6,0.006,1
complete,93.8,100,2,xFortich,xFortich,6.2,0.062,1
complete,98.3,100,2,yaochoal,yaochoal,1.7,0.017,1
simple,26.9,100,2,Alekzu,Alekzu,73.1,0.731,1
simple,18.7,100,2,Anvido,Anvido,81.3,0.813,1
simple,40.5,100,2,Biopeligro,Biopeligro,59.5,0.595,1
simple,45,100,2,Caadiazsi,Caadiazsi,55,0.55,1
simple,100,100,2,DavidsMartinez,DavidsMartinez,0,0,1
simple,28.2,100,2,DiegoAraque1207,DiegoAraque1207,71.8,0.718,1
simple,38.8,100,2,GabrielUnal,GabrielUnal,61.2,0.612,1
simple,36.5,100,2,Gavnic,Gavnic,63.5,0.635,1
simple,46.9,100,2,Gusgal03,Gusgal03,53.1,0.531,1
simple,49.4,44.5,2,Joacampora,Joacampora,50.6,0.506,1
simple,64.8,46.8,2,Juankmilo97,Juankmilo97,35.2,0.352,1
simple,100,100,2,Jufcardenasmo,Jufcardenasmo,0,0,1
simple,19.1,32.4,2,Ozai98,Ozai98,80.9,0.809,1
simple,100,100,2,Sariilan,Sariilan,0,0,1
simple,34,100,2,bsdiaza,bsdiaza,66,0.66,1
simple,100,100,2,casc3798,casc3798,0,0,1
simple,87,100,2,diefrodriguezcha,diefrodriguezcha,13,0.13,1
simple,27.6,100,2,facuellarg,facuellarg,72.4,0.724,1
simple,32.2,54.4,2,federgolo,federgolo,67.8,0.678,1
simple,100,100,2,garayf,garayf,0,0,1
simple,99.4,100,2,jaleonro,jaleonro,0.6,0.006,1
simple,87.7,100,2,jsalcinar,jsalcinar,12.3,0.123,1
simple,100,100,2,jssanchezo,jssanchezo,0,0,1
simple,100,100,2,nviverosb,nviverosb,0,0,1
simple,98.4,100,2,olimita,olimita,1.6,0.016,1
simple,23.1,100,2,sebcamacho1703,sebcamacho1703,76.9,0.769,1
simple,99.4,100,2,serbatero,serbatero,0.6,0.006,1
simple,96.6,100,2,xFortich,xFortich,3.4,0.034,1
simple,100,100,2,yaochoal,yaochoal,0,0,1
maps,100,100,3,DiegoAraque1207,DiegoAraque1207,0,0,1
maps,100,100,3,GabrielUnal,GabrielUnal,0,0,1
maps,33.1,39.2,3,Joacampora,Joacampora,66.9,0.669,1
maps,100,100,3,Juankmilo97,Juankmilo97,0,0,1
maps,29.6,100,3,bsdiaza,bsdiaza,70.4,0.704,1
maps,100,100,3,casc3798,casc3798,0,0,1
maps,84.6,100,3,diefrodriguezcha,diefrodriguezcha,15.4,0.154,1
maps,22.2,32.4,3,federgolo,federgolo,77.8,0.778,1
maps,100,100,3,nviverosb,nviverosb,0,0,1
maps,100,100,3,olimita,olimita,0,0,1
maps,100,100,3,serbatero,serbatero,0,0,1
maps,100,100,3,yaochoal,yaochoal,0,0,1
complete,7.2,33.9,3,Alekzu,Alekzu,92.8,0.928,1
complete,99.9,100,3,Anvido,Anvido,0.1,0.001,1
complete,100,100,3,Biopeligro,Biopeligro,0,0,1
complete,100,100,3,Caadiazsi,Caadiazsi,0,0,1
complete,100,100,3,DavidsMartinez,DavidsMartinez,0,0,1
complete,99.7,100,3,DiegoAraque1207,DiegoAraque1207,0.3,0.003,1
complete,100,100,3,GabrielUnal,GabrielUnal,0,0,1
complete,34.5,100,3,Gavnic,Gavnic,65.5,0.655,1
complete,100,100,3,Gusgal03,Gusgal03,0,0,1
complete,25.2,89.2,3,Joacampora,Joacampora,74.8,0.748,1
complete,99.1,100,3,Juankmilo97,Juankmilo97,0.9,0.009,1
complete,48.6,99,3,Jufcardenasmo,Jufcardenasmo,51.4,0.514,1
complete,86.1,98.3,3,Ozai98,Ozai98,13.9,0.139,1
complete,100,100,3,Sariilan,Sariilan,0,0,1
complete,26.6,95.8,3,bsdiaza,bsdiaza,73.4,0.734,1
complete,100,100,3,casc3798,casc3798,0,0,1
complete,82.6,100,3,diefrodriguezcha,diefrodriguezcha,17.4,0.174,1
complete,27.6,100,3,facuellarg,facuellarg,72.4,0.724,1
complete,80.9,100,3,federgolo,federgolo,19.1,0.191,1
complete,99.8,100,3,garayf,garayf,0.2,0.002,1
complete,86.2,100,3,jaleonro,jaleonro,13.8,0.138,1
complete,90.7,100,3,jsalcinar,jsalcinar,9.3,0.093,1
complete,100,100,3,jssanchezo,jssanchezo,0,0,1
complete,99.7,100,3,nviverosb,nviverosb,0.3,0.003,1
complete,95.6,100,3,olimita,olimita,4.4,0.044,1
complete,59.9,91.8,3,sebcamacho1703,sebcamacho1703,40.1,0.401,1
complete,100,100,3,serbatero,serbatero,0,0,1
complete,67.1,54.1,3,xFortich,xFortich,32.9,0.329,1
complete,99.7,100,3,yaochoal,yaochoal,0.3,0.003,1
simple,87.2,100,3,Alekzu,Alekzu,12.8,0.128,1
simple,99.9,100,3,Anvido,Anvido,0.1,0.001,1
simple,100,100,3,Biopeligro,Biopeligro,0,0,1
simple,100,100,3,Caadiazsi,Caadiazsi,0,0,1
simple,100,100,3,DavidsMartinez,DavidsMartinez,0,0,1
simple,99.7,100,3,DiegoAraque1207,DiegoAraque1207,0.3,0.003,1
simple,100,100,3,GabrielUnal,GabrielUnal,0,0,1
simple,35.6,100,3,Gavnic,Gavnic,64.4,0.644,1
simple,100,100,3,Gusgal03,Gusgal03,0,0,1
simple,93.9,100,3,Joacampora,Joacampora,6.1,0.061,1
simple,99.1,100,3,Juankmilo97,Juankmilo97,0.9,0.009,1
simple,100,100,3,Jufcardenasmo,Jufcardenasmo,0,0,1
simple,86.1,98.3,3,Ozai98,Ozai98,13.9,0.139,1
simple,100,100,3,Sariilan,Sariilan,0,0,1
simple,32.7,87,3,bsdiaza,bsdiaza,67.3,0.673,1
simple,100,100,3,casc3798,casc3798,0,0,1
simple,90,100,3,diefrodriguezcha,diefrodriguezcha,10,0.1,1
simple,27.6,100,3,facuellarg,facuellarg,72.4,0.724,1
simple,97.3,100,3,federgolo,federgolo,2.7,0.027,1
simple,99.8,100,3,garayf,garayf,0.2,0.002,1
simple,99.8,100,3,jaleonro,jaleonro,0.2,0.002,1
simple,100,100,3,jssanchezo,jssanchezo,0,0,1
simple,80.2,100,3,nviverosb,nviverosb,19.8,0.198,1
simple,95.6,100,3,olimita,olimita,4.4,0.044,1
simple,63.4,96.5,3,sebcamacho1703,sebcamacho1703,36.6,0.366,1
simple,100,100,3,serbatero,serbatero,0,0,1
simple,98.7,54.1,3,xFortich,xFortich,1.3,0.013,1
simple,100,100,3,yaochoal,yaochoal,0,0,1
maps,99.8,100,4,Alekzu,Alekzu,0.2,0.002,1
maps,28.5,38.7,4,DiegoAraque1207,DiegoAraque1207,71.5,0.715,1
maps,23.4,70.3,4,GabrielUnal,GabrielUnal,76.6,0.766,1
maps,33.1,40.7,4,Joacampora,Joacampora,66.9,0.669,1
maps,26.4,100,4,Juankmilo97,Juankmilo97,73.6,0.736,1
maps,52.2,100,4,Jufcardenasmo,Jufcardenasmo,47.8,0.478,1
maps,87.6,100,4,bsdiaza,bsdiaza,12.4,0.124,1
maps,25.1,40.7,4,casc3798,casc3798,74.9,0.749,1
maps,100,100,4,federgolo,federgolo,0,0,1
maps,100,100,4,nviverosb,nviverosb,0,0,1
maps,100,100,4,olimita,olimita,0,0,1
maps,87.7,100,4,serbatero,serbatero,12.3,0.123,1
maps,100,100,4,yaochoal,yaochoal,0,0,1
charts,100,100,4,yaochoal,yaochoal,0,0,1
complete,28.8,100,4,Alekzu,Alekzu,71.2,0.712,1
complete,100,100,4,Anvido,Anvido,0,0,1
complete,9.7,73.6,4,Biopeligro,Biopeligro,90.3,0.903,1
complete,100,100,4,Caadiazsi,Caadiazsi,0,0,1
complete,100,100,4,DavidsMartinez,DavidsMartinez,0,0,1
complete,87.3,100,4,DiegoAraque1207,DiegoAraque1207,12.7,0.127,1
complete,45.1,99,4,GabrielUnal,GabrielUnal,54.9,0.549,1
complete,31.6,63,4,Gavnic,Gavnic,68.4,0.684,1
complete,100,100,4,Gusgal03,Gusgal03,0,0,1
complete,93.7,100,4,Joacampora,Joacampora,6.3,0.063,1
complete,84.4,100,4,Juankmilo97,Juankmilo97,15.6,0.156,1
complete,24.1,100,4,Jufcardenasmo,Jufcardenasmo,75.9,0.759,1
complete,100,100,4,Ozai98,Ozai98,0,0,1
complete,100,100,4,Sariilan,Sariilan,0,0,1
complete,85.4,100,4,bsdiaza,bsdiaza,14.6,0.146,1
complete,47.6,94.5,4,casc3798,casc3798,52.4,0.524,1
complete,26.5,100,4,diefrodriguezcha,diefrodriguezcha,73.5,0.735,1
complete,100,100,4,facuellarg,facuellarg,0,0,1
complete,91.5,100,4,federgolo,federgolo,8.5,0.085,1
complete,100,100,4,garayf,garayf,0,0,1
complete,84.8,100,4,jaleonro,jaleonro,15.2,0.152,1
complete,86.2,100,4,jsalcinar,jsalcinar,13.8,0.138,1
complete,100,100,4,jssanchezo,jssanchezo,0,0,1
complete,99.1,100,4,nviverosb,nviverosb,0.9,0.009,1
complete,98.3,100,4,olimita,olimita,1.7,0.017,1
complete,80.9,53,4,sebcamacho1703,sebcamacho1703,19.1,0.191,1
complete,41.5,100,4,serbatero,serbatero,58.5,0.585,1
complete,99.9,100,4,xFortich,xFortich,0.1,0.001,1
complete,99.3,100,4,yaochoal,yaochoal,0.7,0.007,1
simple,95.2,100,4,Alekzu,Alekzu,4.8,0.048,1
simple,100,100,4,Anvido,Anvido,0,0,1
simple,48.7,77.9,4,Biopeligro,Biopeligro,51.3,0.513,1
simple,100,100,4,Caadiazsi,Caadiazsi,0,0,1
simple,100,100,4,DavidsMartinez,DavidsMartinez,0,0,1
simple,98.2,100,4,DiegoAraque1207,DiegoAraque1207,1.8,0.018,1
simple,90.1,44.1,4,GabrielUnal,GabrielUnal,9.9,0.099,1
simple,33.2,57.7,4,Gavnic,Gavnic,66.8,0.668,1
simple,100,100,4,Gusgal03,Gusgal03,0,0,1
simple,95.8,100,4,Joacampora,Joacampora,4.2,0.042,1
simple,94.5,100,4,Juankmilo97,Juankmilo97,5.5,0.055,1
simple,10.2,23,4,Jufcardenasmo,Jufcardenasmo,89.8,0.898,1
simple,100,100,4,Ozai98,Ozai98,0,0,1
simple,100,100,4,Sariilan,Sariilan,0,0,1
simple,95.7,100,4,bsdiaza,bsdiaza,4.3,0.043,1
simple,71.1,79.9,4,casc3798,casc3798,28.9,0.289,1
simple,39.7,100,4,diefrodriguezcha,diefrodriguezcha,60.3,0.603,1
simple,100,100,4,facuellarg,facuellarg,0,0,1
simple,91.5,100,4,federgolo,federgolo,8.5,0.085,1
simple,100,100,4,garayf,garayf,0,0,1
simple,99.6,100,4,jaleonro,jaleonro,0.4,0.004,1
simple,100,100,4,jssanchezo,jssanchezo,0,0,1
simple,84.6,28.6,4,nviverosb,nviverosb,15.4,0.154,1
simple,98.3,100,4,olimita,olimita,1.7,0.017,1
simple,92.1,53.4,4,sebcamacho1703,sebcamacho1703,7.9,0.079,1
simple,54.1,100,4,serbatero,serbatero,45.9,0.459,1
simple,99.9,100,4,xFortich,xFortich,0.1,0.001,1
simple,99.6,100,4,yaochoal,yaochoal,0.4,0.004,1
