,username1,username2,link1,link2,comparison_type,ssim,features2d,stage,link1_change,link2_change,ssim_exp
1187,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/DiegoAraque1207/webapp_phase1/index.html,http://www.ironhacks.com/preview/DiegoAraque1207/webapp_phase2/index.html,simple,32.4,100.0,1,DiegoAraque1207,DiegoAraque1207,67.6
1217,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/GabrielUnal/webapp_phase1/index.html,http://www.ironhacks.com/preview/GabrielUnal/webapp_phase2/index.html,simple,100.0,100.0,1,GabrielUnal,GabrielUnal,0.0
1247,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/Gavnic/webapp_phase1/index.html,http://www.ironhacks.com/preview/Gavnic/webapp_phase2/index.html,simple,36.0,100.0,1,Gavnic,Gavnic,64.0
1277,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/Gusgal03/webapp_phase1/index.html,http://www.ironhacks.com/preview/Gusgal03/webapp_phase2/index.html,simple,100.0,100.0,1,Gusgal03,Gusgal03,0.0
1307,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/Joacampora/webapp_phase1/index.html,http://www.ironhacks.com/preview/Joacampora/webapp_phase2/index.html,simple,50.3,29.8,1,Joacampora,Joacampora,49.7
1337,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/Juankmilo97/webapp_phase1/index.html,http://www.ironhacks.com/preview/Juankmilo97/webapp_phase2/index.html,simple,44.5,38.0,1,Juankmilo97,Juankmilo97,55.5
1367,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/Jufcardenasmo/webapp_phase1/index.html,http://www.ironhacks.com/preview/Jufcardenasmo/webapp_phase2/index.html,simple,9.7,12.1,1,Jufcardenasmo,Jufcardenasmo,90.3
1397,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/Ozai98/webapp_phase1/index.html,http://www.ironhacks.com/preview/Ozai98/webapp_phase2/index.html,simple,100.0,100.0,1,Ozai98,Ozai98,0.0
1427,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/Sariilan/webapp_phase1/index.html,http://www.ironhacks.com/preview/Sariilan/webapp_phase2/index.html,simple,100.0,100.0,1,Sariilan,Sariilan,0.0
1457,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/bsdiaza/webapp_phase1/index.html,http://www.ironhacks.com/preview/bsdiaza/webapp_phase2/index.html,simple,100.0,100.0,1,bsdiaza,bsdiaza,0.0
1487,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/casc3798/webapp_phase1/index.html,http://www.ironhacks.com/preview/casc3798/webapp_phase2/index.html,simple,13.6,84.5,1,casc3798,casc3798,86.4
1517,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/diefrodriguezcha/webapp_phase1/index.html,http://www.ironhacks.com/preview/diefrodriguezcha/webapp_phase2/index.html,simple,39.7,100.0,1,diefrodriguezcha,diefrodriguezcha,60.3
1547,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/facuellarg/webapp_phase1/index.html,http://www.ironhacks.com/preview/facuellarg/webapp_phase2/index.html,simple,27.5,100.0,1,facuellarg,facuellarg,72.5
1577,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/federgolo/webapp_phase1/index.html,http://www.ironhacks.com/preview/federgolo/webapp_phase2/index.html,simple,91.1,97.0,1,federgolo,federgolo,8.900000000000006
1607,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/garayf/webapp_phase1/index.html,http://www.ironhacks.com/preview/garayf/webapp_phase2/index.html,simple,97.6,100.0,1,garayf,garayf,2.4000000000000057
1637,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/jaleonro/webapp_phase1/index.html,http://www.ironhacks.com/preview/jaleonro/webapp_phase2/index.html,simple,98.4,100.0,1,jaleonro,jaleonro,1.5999999999999943
1667,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/jsalcinar/webapp_phase1/index.html,http://www.ironhacks.com/preview/jsalcinar/webapp_phase2/index.html,simple,84.2,100.0,1,jsalcinar,jsalcinar,15.799999999999997
1697,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/jssanchezo/webapp_phase1/index.html,http://www.ironhacks.com/preview/jssanchezo/webapp_phase2/index.html,simple,100.0,100.0,1,jssanchezo,jssanchezo,0.0
1728,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/olimita/webapp_phase1/index.html,http://www.ironhacks.com/preview/olimita/webapp_phase2/index.html,simple,88.3,100.0,1,olimita,olimita,11.700000000000003
1758,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/sebcamacho1703/webapp_phase1/index.html,http://www.ironhacks.com/preview/sebcamacho1703/webapp_phase2/index.html,simple,10.7,100.0,1,sebcamacho1703,sebcamacho1703,89.3
1788,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/serbatero/webapp_phase1/index.html,http://www.ironhacks.com/preview/serbatero/webapp_phase2/index.html,simple,65.5,80.7,1,serbatero,serbatero,34.5
1818,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/xFortich/webapp_phase1/index.html,http://www.ironhacks.com/preview/xFortich/webapp_phase2/index.html,simple,96.2,66.5,1,xFortich,xFortich,3.799999999999997
1848,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/yaochoal/webapp_phase1/index.html,http://www.ironhacks.com/preview/yaochoal/webapp_phase2/index.html,simple,96.8,100.0,1,yaochoal,yaochoal,3.200000000000003
1867,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/Joacampora/webapp_phase2/index.html,http://www.ironhacks.com/preview/Joacampora/webapp_phase3/index.html,maps,28.4,44.8,2,Joacampora,Joacampora,71.6
1884,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/Juankmilo97/webapp_phase2/index.html,http://www.ironhacks.com/preview/Juankmilo97/webapp_phase3/index.html,maps,100.0,100.0,2,Juankmilo97,Juankmilo97,0.0
1918,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/casc3798/webapp_phase2/index.html,http://www.ironhacks.com/preview/casc3798/webapp_phase3/index.html,maps,100.0,100.0,2,casc3798,casc3798,0.0
1935,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/diefrodriguezcha/webapp_phase2/index.html,http://www.ironhacks.com/preview/diefrodriguezcha/webapp_phase3/index.html,maps,85.0,100.0,2,diefrodriguezcha,diefrodriguezcha,15.0
1952,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/federgolo/webapp_phase2/index.html,http://www.ironhacks.com/preview/federgolo/webapp_phase3/index.html,maps,21.0,43.1,2,federgolo,federgolo,79.0
1969,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/jaleonro/webapp_phase2/index.html,http://www.ironhacks.com/preview/jaleonro/webapp_phase3/index.html,maps,83.8,98.4,2,jaleonro,jaleonro,16.200000000000003
1986,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/jsalcinar/webapp_phase2/index.html,http://www.ironhacks.com/preview/jsalcinar/webapp_phase3/index.html,maps,25.9,100.0,2,jsalcinar,jsalcinar,74.1
2003,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/nviverosb/webapp_phase2/index.html,http://www.ironhacks.com/preview/nviverosb/webapp_phase3/index.html,maps,100.0,100.0,2,nviverosb,nviverosb,0.0
2020,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/olimita/webapp_phase2/index.html,http://www.ironhacks.com/preview/olimita/webapp_phase3/index.html,maps,100.0,100.0,2,olimita,olimita,0.0
2038,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/serbatero/webapp_phase2/index.html,http://www.ironhacks.com/preview/serbatero/webapp_phase3/index.html,maps,100.0,100.0,2,serbatero,serbatero,0.0
2055,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/xFortich/webapp_phase2/index.html,http://www.ironhacks.com/preview/xFortich/webapp_phase3/index.html,maps,22.4,100.0,2,xFortich,xFortich,77.6
2072,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/yaochoal/webapp_phase2/index.html,http://www.ironhacks.com/preview/yaochoal/webapp_phase3/index.html,maps,100.0,100.0,2,yaochoal,yaochoal,0.0
2073,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/Alekzu/webapp_phase2/index.html,http://www.ironhacks.com/preview/Alekzu/webapp_phase3/index.html,complete,26.9,100.0,2,Alekzu,Alekzu,73.1
2103,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/Anvido/webapp_phase2/index.html,http://www.ironhacks.com/preview/Anvido/webapp_phase3/index.html,complete,18.7,100.0,2,Anvido,Anvido,81.3
2133,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/Biopeligro/webapp_phase2/index.html,http://www.ironhacks.com/preview/Biopeligro/webapp_phase3/index.html,complete,40.5,100.0,2,Biopeligro,Biopeligro,59.5
2163,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/Caadiazsi/webapp_phase2/index.html,http://www.ironhacks.com/preview/Caadiazsi/webapp_phase3/index.html,complete,45.0,100.0,2,Caadiazsi,Caadiazsi,55.0
2193,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/DavidsMartinez/webapp_phase2/index.html,http://www.ironhacks.com/preview/DavidsMartinez/webapp_phase3/index.html,complete,100.0,100.0,2,DavidsMartinez,DavidsMartinez,0.0
2223,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/DiegoAraque1207/webapp_phase2/index.html,http://www.ironhacks.com/preview/DiegoAraque1207/webapp_phase3/index.html,complete,28.2,100.0,2,DiegoAraque1207,DiegoAraque1207,71.8
2253,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/GabrielUnal/webapp_phase2/index.html,http://www.ironhacks.com/preview/GabrielUnal/webapp_phase3/index.html,complete,38.8,100.0,2,GabrielUnal,GabrielUnal,61.2
2283,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/Gavnic/webapp_phase2/index.html,http://www.ironhacks.com/preview/Gavnic/webapp_phase3/index.html,complete,36.5,100.0,2,Gavnic,Gavnic,63.5
2313,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/Gusgal03/webapp_phase2/index.html,http://www.ironhacks.com/preview/Gusgal03/webapp_phase3/index.html,complete,46.9,100.0,2,Gusgal03,Gusgal03,53.1
2343,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/Joacampora/webapp_phase2/index.html,http://www.ironhacks.com/preview/Joacampora/webapp_phase3/index.html,complete,74.9,100.0,2,Joacampora,Joacampora,25.099999999999994
2373,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/Juankmilo97/webapp_phase2/index.html,http://www.ironhacks.com/preview/Juankmilo97/webapp_phase3/index.html,complete,17.9,100.0,2,Juankmilo97,Juankmilo97,82.1
2403,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/Jufcardenasmo/webapp_phase2/index.html,http://www.ironhacks.com/preview/Jufcardenasmo/webapp_phase3/index.html,complete,48.6,99.0,2,Jufcardenasmo,Jufcardenasmo,51.4
2433,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/Ozai98/webapp_phase2/index.html,http://www.ironhacks.com/preview/Ozai98/webapp_phase3/index.html,complete,19.1,32.4,2,Ozai98,Ozai98,80.9
2463,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/Sariilan/webapp_phase2/index.html,http://www.ironhacks.com/preview/Sariilan/webapp_phase3/index.html,complete,100.0,100.0,2,Sariilan,Sariilan,0.0
2493,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/bsdiaza/webapp_phase2/index.html,http://www.ironhacks.com/preview/bsdiaza/webapp_phase3/index.html,complete,34.0,100.0,2,bsdiaza,bsdiaza,66.0
2523,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/casc3798/webapp_phase2/index.html,http://www.ironhacks.com/preview/casc3798/webapp_phase3/index.html,complete,95.9,100.0,2,casc3798,casc3798,4.099999999999994
2553,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/diefrodriguezcha/webapp_phase2/index.html,http://www.ironhacks.com/preview/diefrodriguezcha/webapp_phase3/index.html,complete,85.5,100.0,2,diefrodriguezcha,diefrodriguezcha,14.5
2583,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/facuellarg/webapp_phase2/index.html,http://www.ironhacks.com/preview/facuellarg/webapp_phase3/index.html,complete,27.6,100.0,2,facuellarg,facuellarg,72.4
2613,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/federgolo/webapp_phase2/index.html,http://www.ironhacks.com/preview/federgolo/webapp_phase3/index.html,complete,28.5,87.0,2,federgolo,federgolo,71.5
2643,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/garayf/webapp_phase2/index.html,http://www.ironhacks.com/preview/garayf/webapp_phase3/index.html,complete,100.0,100.0,2,garayf,garayf,0.0
2673,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/jaleonro/webapp_phase2/index.html,http://www.ironhacks.com/preview/jaleonro/webapp_phase3/index.html,complete,99.4,100.0,2,jaleonro,jaleonro,0.5999999999999943
2703,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/jsalcinar/webapp_phase2/index.html,http://www.ironhacks.com/preview/jsalcinar/webapp_phase3/index.html,complete,74.3,100.0,2,jsalcinar,jsalcinar,25.700000000000003
2733,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/jssanchezo/webapp_phase2/index.html,http://www.ironhacks.com/preview/jssanchezo/webapp_phase3/index.html,complete,100.0,100.0,2,jssanchezo,jssanchezo,0.0
2763,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/nviverosb/webapp_phase2/index.html,http://www.ironhacks.com/preview/nviverosb/webapp_phase3/index.html,complete,100.0,100.0,2,nviverosb,nviverosb,0.0
2793,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/olimita/webapp_phase2/index.html,http://www.ironhacks.com/preview/olimita/webapp_phase3/index.html,complete,98.4,100.0,2,olimita,olimita,1.5999999999999943
2823,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/sebcamacho1703/webapp_phase2/index.html,http://www.ironhacks.com/preview/sebcamacho1703/webapp_phase3/index.html,complete,11.4,100.0,2,sebcamacho1703,sebcamacho1703,88.6
2853,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/serbatero/webapp_phase2/index.html,http://www.ironhacks.com/preview/serbatero/webapp_phase3/index.html,complete,99.4,100.0,2,serbatero,serbatero,0.5999999999999943
2883,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/xFortich/webapp_phase2/index.html,http://www.ironhacks.com/preview/xFortich/webapp_phase3/index.html,complete,93.8,100.0,2,xFortich,xFortich,6.200000000000003
2913,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/yaochoal/webapp_phase2/index.html,http://www.ironhacks.com/preview/yaochoal/webapp_phase3/index.html,complete,98.3,100.0,2,yaochoal,yaochoal,1.7000000000000028
2914,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/Alekzu/webapp_phase2/index.html,http://www.ironhacks.com/preview/Alekzu/webapp_phase3/index.html,simple,26.9,100.0,2,Alekzu,Alekzu,73.1
2944,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/Anvido/webapp_phase2/index.html,http://www.ironhacks.com/preview/Anvido/webapp_phase3/index.html,simple,18.7,100.0,2,Anvido,Anvido,81.3
2974,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/Biopeligro/webapp_phase2/index.html,http://www.ironhacks.com/preview/Biopeligro/webapp_phase3/index.html,simple,40.5,100.0,2,Biopeligro,Biopeligro,59.5
3004,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/Caadiazsi/webapp_phase2/index.html,http://www.ironhacks.com/preview/Caadiazsi/webapp_phase3/index.html,simple,45.0,100.0,2,Caadiazsi,Caadiazsi,55.0
