,type,dist_search,stage
304,data,0.01,3
305,data,0.01,3
306,data,0.01,3
307,data,0.01,3
308,data,0.01,3
309,data,0.0789473684210526,3
310,data,0.99,3
311,data,0.2352941176470588,3
312,data,0.01,3
313,data,0.01,3
314,data,0.99,3
315,data,0.01,3
316,data,0.99,3
317,data,0.1944444444444444,3
318,data,0.01,3
319,data,0.01,3
320,data,0.01,3
321,data,0.01,3
322,data,0.01,3
323,data,0.01,4
324,data,0.01,4
325,data,0.01,4
326,data,0.01,4
327,data,0.01,4
328,data,0.2558139534883721,4
329,data,0.01,4
330,data,0.01,4
331,data,0.99,4
332,data,0.01,4
333,data,0.01,4
334,data,0.01,4
335,data,0.1489361702127659,4
336,data,0.01,4
337,data,0.01,4
338,data,0.01,4
339,data,0.01,4
340,data,0.99,4
341,data,0.99,4
342,data,0.01,4
343,data,0.01,4
344,data,0.3076923076923077,4
345,data,0.01,4
346,data,0.01,4
347,data,0.1428571428571429,4
348,data,0.01,4
349,data,0.01,4
350,data,0.2272727272727273,4
351,data,0.01,4
352,data,0.0645161290322581,4
353,data,0.01,4
354,data,0.99,4
355,data,0.01,4
356,data,0.99,4
357,data,0.01,4
358,data,0.7333333333333334,4
359,data,0.01,4
360,data,0.01,4
361,data,0.1999999999999999,4
362,data,0.01,4
363,data,0.01,4
364,data,0.01,4
365,data,0.01,4
366,data,0.99,4
367,data,0.01,4
368,data,0.99,4
369,data,0.01,4
370,data,0.99,4
371,data,0.01,4
372,data,0.01,4
373,data,0.01,4
374,data,0.01,4
375,data,0.99,4
376,data,0.01,4
377,data,0.99,4
378,data,0.01,4
379,data,0.01,4
380,data,0.01,4
381,data,0.01,4
382,data,0.4516129032258065,4
383,data,0.01,4
384,data,0.01,4
385,data,0.01,4
386,data,0.99,4
387,data,0.01,4
388,data,0.01,4
389,data,0.2222222222222222,4
390,data,0.01,4
391,data,0.01,4
392,data,0.01,4
393,data,0.4615384615384615,4
394,data,0.01,4
395,data,0.01,4
396,data,0.99,4
397,data,0.01,4
398,data,0.01,4
399,data,0.01,4
400,data,0.01,4
401,data,0.01,4
402,data,0.01,4
403,data,0.99,4
404,data,0.01,4
405,data,0.01,4
406,data,0.01,4
407,data,0.01,4
408,data,0.01,4
409,data,0.01,4
410,data,0.01,4
411,data,0.01,4
412,data,0.01,4
413,data,0.01,4
414,data,0.01,4
415,data,0.5952380952380952,4
416,data,0.01,4
417,data,0.01,4
418,data,0.01,4
419,data,0.175,4
420,data,0.01,4
421,data,0.01,4
422,data,0.01,4
423,data,0.99,4
424,data,0.01,4
425,data,0.0769230769230768,4
426,data,0.01,4
427,data,0.01,4
428,data,0.01,4
429,data,0.01,4
430,data,0.99,4
431,Functions Search,0.318182,1
432,Functions Search,0.272727,1
433,Functions Search,0.99,1
434,Functions Search,0.484848,1
435,Functions Search,0.36,1
436,Functions Search,0.121951,1
437,Functions Search,0.636364,1
438,Functions Search,0.4,1
439,Functions Search,0.178571,1
440,Functions Search,0.1875,1
441,Functions Search,0.99,1
442,Functions Search,0.99,1
443,Functions Search,0.99,1
444,Functions Search,0.348837,1
445,Functions Search,0.99,1
446,Functions Search,0.166667,1
447,Functions Search,0.857143,1
448,Functions Search,0.333333,1
449,Functions Search,0.99,1
450,Functions Search,0.99,2
451,Functions Search,0.424528,2
452,Functions Search,0.333333,2
453,Functions Search,0.99,2
454,Functions Search,0.272727,2
455,Functions Search,0.99,2
456,Functions Search,0.136364,2
457,Functions Search,0.445946,2
458,Functions Search,0.115385,2
459,Functions Search,0.357143,2
460,Functions Search,0.99,2
461,Functions Search,0.99,2
462,Functions Search,0.99,2
463,Functions Search,0.22449,2
464,Functions Search,0.6,2
465,Functions Search,0.375,2
466,Functions Search,0.99,3
467,Functions Search,0.333333,3
468,Functions Search,0.99,3
469,Functions Search,0.375,3
470,Functions Search,0.99,3
471,Functions Search,0.99,3
472,Functions Search,0.99,3
473,Functions Search,0.068182,3
474,Functions Search,0.115385,3
475,Functions Search,0.216867,3
476,Functions Search,0.99,3
477,Functions Search,0.285714,4
478,Functions Search,0.99,4
479,Functions Search,0.99,4
480,Functions Search,0.783069,4
481,Functions Search,0.57971,4
482,Functions Search,0.40678,4
483,Functions Search,0.99,4
484,Functions Search,0.701754,4
485,Functions Search,0.99,4
486,Functions Search,0.905882,4
487,Functions Search,0.363636,1
488,Functions Search,0.99,1
489,Functions Search,0.99,1
490,Functions Search,0.375,1
491,Functions Search,0.99,1
492,Functions Search,0.01,1
493,Functions Search,0.99,1
494,Functions Search,0.99,1
495,Functions Search,0.098214,1
496,Functions Search,0.99,1
497,Functions Search,0.5,1
498,Functions Search,0.444444,1
499,Functions Search,0.157895,1
500,Functions Search,0.328767,1
501,Functions Search,0.176471,2
502,Functions Search,0.681818,2
503,Functions Search,0.451087,2
504,Functions Search,0.574713,2
505,Functions Search,0.99,2
506,Functions Search,0.99,2
507,Functions Search,0.969697,2
508,Functions Search,0.99,2
509,Functions Search,0.99,2
510,Functions Search,0.99,2
511,Functions Search,0.142857,2
512,Functions Search,0.73913,2
513,Functions Search,0.176471,3
514,Functions Search,0.237288,3
515,Functions Search,0.99,3
516,Functions Search,0.99,3
517,Functions Search,0.017143,3
518,Functions Search,0.896907,3
