,Unnamed: 0,username1,username2,link1,link2,comparison_type,ssim,features2d,stage,link1_change,link2_change,ssim_exp,group
0,0,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/BrandonAvilanR/webapp_phase1/index.html,http://www.ironhacks.com/preview/BrandonAvilanR/webapp_phase2/index.html,maps,10.1,100.0,1,BrandonAvilanR,BrandonAvilanR,89.9,0
1,9,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/DaniCastel/webapp_phase1/index.html,http://www.ironhacks.com/preview/DaniCastel/webapp_phase2/index.html,maps,6.5,39.9,1,DaniCastel,DaniCastel,93.5,0
2,50,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/Orloffyeah/webapp_phase1/index.html,http://www.ironhacks.com/preview/Orloffyeah/webapp_phase2/index.html,maps,37.1,67.2,1,Orloffyeah,Orloffyeah,62.9,0
3,67,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/alejosaur/webapp_phase1/index.html,http://www.ironhacks.com/preview/alejosaur/webapp_phase2/index.html,maps,68.1,87.8,1,alejosaur,alejosaur,31.90000000000001,0
4,84,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/anythinglord/webapp_phase1/index.html,http://www.ironhacks.com/preview/anythinglord/webapp_phase2/index.html,maps,28.2,32.8,1,anythinglord,anythinglord,71.8,0
5,93,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/cglaitong/webapp_phase1/index.html,http://www.ironhacks.com/preview/cglaitong/webapp_phase2/index.html,maps,39.6,68.3,1,cglaitong,cglaitong,60.4,0
6,102,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/criscapunal/webapp_phase1/index.html,http://www.ironhacks.com/preview/criscapunal/webapp_phase2/index.html,maps,94.0,100.0,1,criscapunal,criscapunal,6.0,0
7,111,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/csalfonsol/webapp_phase1/index.html,http://www.ironhacks.com/preview/csalfonsol/webapp_phase2/index.html,maps,8.9,31.9,1,csalfonsol,csalfonsol,91.1,0
8,152,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/BrandonAvilanR/webapp_phase1/index.html,http://www.ironhacks.com/preview/BrandonAvilanR/webapp_phase2/index.html,complete,39.3,100.0,1,BrandonAvilanR,BrandonAvilanR,60.7,0
9,179,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/DaniCastel/webapp_phase1/index.html,http://www.ironhacks.com/preview/DaniCastel/webapp_phase2/index.html,complete,12.2,84.0,1,DaniCastel,DaniCastel,87.8,0
10,206,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/DaveValencia/webapp_phase1/index.html,http://www.ironhacks.com/preview/DaveValencia/webapp_phase2/index.html,complete,32.6,100.0,1,DaveValencia,DaveValencia,67.4,0
11,259,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/Orloffyeah/webapp_phase1/index.html,http://www.ironhacks.com/preview/Orloffyeah/webapp_phase2/index.html,complete,72.7,100.0,1,Orloffyeah,Orloffyeah,27.3,0
12,325,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/alejosaur/webapp_phase1/index.html,http://www.ironhacks.com/preview/alejosaur/webapp_phase2/index.html,complete,99.9,100.0,1,alejosaur,alejosaur,0.0999999999999943,0
13,352,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/anythinglord/webapp_phase1/index.html,http://www.ironhacks.com/preview/anythinglord/webapp_phase2/index.html,complete,49.4,100.0,1,anythinglord,anythinglord,50.6,0
14,366,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/buendiagon/webapp_phase1/index.html,http://www.ironhacks.com/preview/buendiagon/webapp_phase2/index.html,complete,32.6,100.0,1,buendiagon,buendiagon,67.4,0
15,380,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/cglaitong/webapp_phase1/index.html,http://www.ironhacks.com/preview/cglaitong/webapp_phase2/index.html,complete,94.3,100.0,1,cglaitong,cglaitong,5.700000000000003,0
16,394,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/criscapunal/webapp_phase1/index.html,http://www.ironhacks.com/preview/criscapunal/webapp_phase2/index.html,complete,56.4,96.8,1,criscapunal,criscapunal,43.6,0
17,408,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/csalfonsol/webapp_phase1/index.html,http://www.ironhacks.com/preview/csalfonsol/webapp_phase2/index.html,complete,12.4,32.5,1,csalfonsol,csalfonsol,87.6,0
18,448,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/dieguischa/webapp_phase1/index.html,http://www.ironhacks.com/preview/dieguischa/webapp_phase2/index.html,complete,77.2,100.0,1,dieguischa,dieguischa,22.8,0
19,475,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/jaasuarezvi/webapp_phase1/index.html,http://www.ironhacks.com/preview/jaasuarezvi/webapp_phase2/index.html,complete,32.6,100.0,1,jaasuarezvi,jaasuarezvi,67.4,0
20,502,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/tres-xxx/webapp_phase1/index.html,http://www.ironhacks.com/preview/tres-xxx/webapp_phase2/index.html,complete,32.6,100.0,1,tres-xxx,tres-xxx,67.4,0
21,529,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/BrandonAvilanR/webapp_phase1/index.html,http://www.ironhacks.com/preview/BrandonAvilanR/webapp_phase2/index.html,simple,84.7,100.0,1,BrandonAvilanR,BrandonAvilanR,15.299999999999995,0
22,556,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/DaniCastel/webapp_phase1/index.html,http://www.ironhacks.com/preview/DaniCastel/webapp_phase2/index.html,simple,18.7,74.3,1,DaniCastel,DaniCastel,81.3,0
23,583,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/DaveValencia/webapp_phase1/index.html,http://www.ironhacks.com/preview/DaveValencia/webapp_phase2/index.html,simple,32.6,100.0,1,DaveValencia,DaveValencia,67.4,0
24,636,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/Orloffyeah/webapp_phase1/index.html,http://www.ironhacks.com/preview/Orloffyeah/webapp_phase2/index.html,simple,79.3,100.0,1,Orloffyeah,Orloffyeah,20.700000000000003,0
25,702,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/alejosaur/webapp_phase1/index.html,http://www.ironhacks.com/preview/alejosaur/webapp_phase2/index.html,simple,99.9,100.0,1,alejosaur,alejosaur,0.0999999999999943,0
26,729,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/anythinglord/webapp_phase1/index.html,http://www.ironhacks.com/preview/anythinglord/webapp_phase2/index.html,simple,68.3,100.0,1,anythinglord,anythinglord,31.700000000000003,0
27,743,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/buendiagon/webapp_phase1/index.html,http://www.ironhacks.com/preview/buendiagon/webapp_phase2/index.html,simple,32.6,100.0,1,buendiagon,buendiagon,67.4,0
28,757,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/cglaitong/webapp_phase1/index.html,http://www.ironhacks.com/preview/cglaitong/webapp_phase2/index.html,simple,99.8,100.0,1,cglaitong,cglaitong,0.2000000000000028,0
29,771,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/criscapunal/webapp_phase1/index.html,http://www.ironhacks.com/preview/criscapunal/webapp_phase2/index.html,simple,13.9,100.0,1,criscapunal,criscapunal,86.1,0
30,785,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/csalfonsol/webapp_phase1/index.html,http://www.ironhacks.com/preview/csalfonsol/webapp_phase2/index.html,simple,13.0,42.8,1,csalfonsol,csalfonsol,87.0,0
31,825,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/dieguischa/webapp_phase1/index.html,http://www.ironhacks.com/preview/dieguischa/webapp_phase2/index.html,simple,77.2,100.0,1,dieguischa,dieguischa,22.8,0
32,852,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/jaasuarezvi/webapp_phase1/index.html,http://www.ironhacks.com/preview/jaasuarezvi/webapp_phase2/index.html,simple,32.6,100.0,1,jaasuarezvi,jaasuarezvi,67.4,0
33,879,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/tres-xxx/webapp_phase1/index.html,http://www.ironhacks.com/preview/tres-xxx/webapp_phase2/index.html,simple,32.6,100.0,1,tres-xxx,tres-xxx,67.4,0
34,923,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/DaniCastel/webapp_phase2/index.html,http://www.ironhacks.com/preview/DaniCastel/webapp_phase3/index.html,maps,98.2,100.0,2,DaniCastel,DaniCastel,1.7999999999999972,0
35,944,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/Orloffyeah/webapp_phase2/index.html,http://www.ironhacks.com/preview/Orloffyeah/webapp_phase3/index.html,maps,37.1,67.2,2,Orloffyeah,Orloffyeah,62.9,0
36,964,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/alejosaur/webapp_phase2/index.html,http://www.ironhacks.com/preview/alejosaur/webapp_phase3/index.html,maps,70.7,28.7,2,alejosaur,alejosaur,29.3,0
37,983,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/anythinglord/webapp_phase2/index.html,http://www.ironhacks.com/preview/anythinglord/webapp_phase3/index.html,maps,24.5,37.2,2,anythinglord,anythinglord,75.5,0
38,1001,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/cglaitong/webapp_phase2/index.html,http://www.ironhacks.com/preview/cglaitong/webapp_phase3/index.html,maps,39.5,68.7,2,cglaitong,cglaitong,60.5,0
39,1019,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/criscapunal/webapp_phase2/index.html,http://www.ironhacks.com/preview/criscapunal/webapp_phase3/index.html,maps,40.7,41.6,2,criscapunal,criscapunal,59.3,0
40,1037,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/csalfonsol/webapp_phase2/index.html,http://www.ironhacks.com/preview/csalfonsol/webapp_phase3/index.html,maps,36.0,44.2,2,csalfonsol,csalfonsol,64.0,0
41,1044,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/alejosaur/webapp_phase2/index.html#1,http://www.ironhacks.com/preview/alejosaur/webapp_phase3/index.html#1,charts,81.0,93.5,2,alejosaur,alejosaur,19.0,0
42,1047,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/BrandonAvilanR/webapp_phase2/index.html,http://www.ironhacks.com/preview/BrandonAvilanR/webapp_phase3/index.html,complete,39.2,100.0,2,BrandonAvilanR,BrandonAvilanR,60.8,0
43,1078,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/DaniCastel/webapp_phase2/index.html,http://www.ironhacks.com/preview/DaniCastel/webapp_phase3/index.html,complete,64.0,100.0,2,DaniCastel,DaniCastel,36.0,0
44,1109,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/DaveValencia/webapp_phase2/index.html,http://www.ironhacks.com/preview/DaveValencia/webapp_phase3/index.html,complete,32.6,100.0,2,DaveValencia,DaveValencia,67.4,0
45,1142,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/Orloffyeah/webapp_phase2/index.html,http://www.ironhacks.com/preview/Orloffyeah/webapp_phase3/index.html,complete,74.8,100.0,2,Orloffyeah,Orloffyeah,25.200000000000003,0
46,1176,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/alejosaur/webapp_phase2/index.html,http://www.ironhacks.com/preview/alejosaur/webapp_phase3/index.html,complete,100.0,100.0,2,alejosaur,alejosaur,0.0,0
47,1207,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/anythinglord/webapp_phase2/index.html,http://www.ironhacks.com/preview/anythinglord/webapp_phase3/index.html,complete,22.7,48.9,2,anythinglord,anythinglord,77.3,0
48,1237,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/buendiagon/webapp_phase2/index.html,http://www.ironhacks.com/preview/buendiagon/webapp_phase3/index.html,complete,32.6,100.0,2,buendiagon,buendiagon,67.4,0
49,1267,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/cglaitong/webapp_phase2/index.html,http://www.ironhacks.com/preview/cglaitong/webapp_phase3/index.html,complete,79.5,100.0,2,cglaitong,cglaitong,20.5,0
50,1297,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/criscapunal/webapp_phase2/index.html,http://www.ironhacks.com/preview/criscapunal/webapp_phase3/index.html,complete,40.9,41.3,2,criscapunal,criscapunal,59.1,0
51,1327,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/csalfonsol/webapp_phase2/index.html,http://www.ironhacks.com/preview/csalfonsol/webapp_phase3/index.html,complete,23.9,96.0,2,csalfonsol,csalfonsol,76.1,0
52,1359,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/dieguischa/webapp_phase2/index.html,http://www.ironhacks.com/preview/dieguischa/webapp_phase3/index.html,complete,83.5,100.0,2,dieguischa,dieguischa,16.5,0
53,1390,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/jaasuarezvi/webapp_phase2/index.html,http://www.ironhacks.com/preview/jaasuarezvi/webapp_phase3/index.html,complete,32.6,100.0,2,jaasuarezvi,jaasuarezvi,67.4,0
54,1421,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/tres-xxx/webapp_phase2/index.html,http://www.ironhacks.com/preview/tres-xxx/webapp_phase3/index.html,complete,32.6,100.0,2,tres-xxx,tres-xxx,67.4,0
