,link1_change,link2_change,ssim_exp,stage,comparison_type
106,Jufcardenasmo,Jufcardenasmo,90.3,1,simple
107,Ozai98,Ozai98,0.0,1,simple
108,Sariilan,Sariilan,0.0,1,simple
109,bsdiaza,bsdiaza,0.0,1,simple
110,casc3798,casc3798,86.4,1,simple
111,diefrodriguezcha,diefrodriguezcha,60.3,1,simple
112,facuellarg,facuellarg,72.5,1,simple
113,federgolo,federgolo,8.900000000000006,1,simple
114,garayf,garayf,2.4000000000000057,1,simple
115,jaleonro,jaleonro,1.5999999999999943,1,simple
116,jsalcinar,jsalcinar,15.799999999999997,1,simple
117,jssanchezo,jssanchezo,0.0,1,simple
118,olimita,olimita,11.700000000000003,1,simple
119,sebcamacho1703,sebcamacho1703,89.3,1,simple
120,serbatero,serbatero,34.5,1,simple
121,xFortich,xFortich,3.799999999999997,1,simple
122,yaochoal,yaochoal,3.200000000000003,1,simple
123,Joacampora,Joacampora,71.6,2,maps
124,Juankmilo97,Juankmilo97,0.0,2,maps
125,casc3798,casc3798,0.0,2,maps
126,diefrodriguezcha,diefrodriguezcha,15.0,2,maps
127,federgolo,federgolo,79.0,2,maps
128,jaleonro,jaleonro,16.200000000000003,2,maps
129,jsalcinar,jsalcinar,74.1,2,maps
130,nviverosb,nviverosb,0.0,2,maps
131,olimita,olimita,0.0,2,maps
132,serbatero,serbatero,0.0,2,maps
133,xFortich,xFortich,77.6,2,maps
134,yaochoal,yaochoal,0.0,2,maps
135,Alekzu,Alekzu,73.1,2,complete
136,Anvido,Anvido,81.3,2,complete
137,Biopeligro,Biopeligro,59.5,2,complete
138,Caadiazsi,Caadiazsi,55.0,2,complete
139,DavidsMartinez,DavidsMartinez,0.0,2,complete
140,DiegoAraque1207,DiegoAraque1207,71.8,2,complete
141,GabrielUnal,GabrielUnal,61.2,2,complete
142,Gavnic,Gavnic,63.5,2,complete
143,Gusgal03,Gusgal03,53.1,2,complete
144,Joacampora,Joacampora,25.099999999999994,2,complete
145,Juankmilo97,Juankmilo97,82.1,2,complete
146,Jufcardenasmo,Jufcardenasmo,51.4,2,complete
147,Ozai98,Ozai98,80.9,2,complete
148,Sariilan,Sariilan,0.0,2,complete
149,bsdiaza,bsdiaza,66.0,2,complete
150,casc3798,casc3798,4.099999999999994,2,complete
151,diefrodriguezcha,diefrodriguezcha,14.5,2,complete
152,facuellarg,facuellarg,72.4,2,complete
153,federgolo,federgolo,71.5,2,complete
154,garayf,garayf,0.0,2,complete
