,link1_change,link2_change,ssim_exp,stage,comparison_type
70,frnkbs,frnkbs,43.9,1,complete
71,gahormigag,gahormigag,0.0,1,complete
72,ironhacktech2,ironhacktech2,0.0,1,complete
73,jannMorenoJ,jannMorenoJ,4.900000000000006,1,complete
74,jdgaitanf,jdgaitanf,94.2,1,complete
75,nikolasto,nikolasto,58.0,1,complete
76,pahigueraf,pahigueraf,65.9,1,complete
77,sarguellesr,sarguellesr,72.4,1,complete
78,uxjudges1,uxjudges1,98.5,1,complete
79,uxjudges,uxjudges,0.0,1,complete
80,vvargasd,vvargasd,0.0,1,complete
81,Acreed21,Acreed21,0.0,2,complete
82,Camiioo,Camiioo,74.6,2,complete
83,FredyRosero,FredyRosero,89.4,2,complete
84,JamerMejiaGarcia,JamerMejiaGarcia,0.0,2,complete
85,Jfcastroh,Jfcastroh,0.0,2,complete
86,LauraMolina,LauraMolina,0.0,2,complete
87,RafaelCruz15,RafaelCruz15,34.099999999999994,2,complete
88,adcorredorm,adcorredorm,0.0,2,complete
89,alebautis,alebautis,0.0,2,complete
90,ayperezc,ayperezc,0.0,2,complete
91,bfprietoc,bfprietoc,0.0,2,complete
92,biherrerap,biherrerap,0.0,2,complete
93,dahrojasca,dahrojasca,57.9,2,complete
94,davideperdomo,davideperdomo,40.8,2,complete
95,frnkbs,frnkbs,43.9,2,complete
96,gahormigag,gahormigag,0.0,2,complete
97,gimg1859,gimg1859,54.9,2,complete
98,ironhacktech2,ironhacktech2,0.0,2,complete
99,jannMorenoJ,jannMorenoJ,71.9,2,complete
100,jdgaitanf,jdgaitanf,57.0,2,complete
101,nikolasto,nikolasto,41.9,2,complete
102,pahigueraf,pahigueraf,64.7,2,complete
103,sarguellesr,sarguellesr,19.0,2,complete
104,uxjudges1,uxjudges1,0.0,2,complete
105,uxjudges,uxjudges,0.0,2,complete
106,vvargasd,vvargasd,0.0,2,complete
107,Acreed21,Acreed21,0.20000000000000284,3,complete
108,Camiioo,Camiioo,63.6,3,complete
109,FredyRosero,FredyRosero,14.900000000000006,3,complete
110,JamerMejiaGarcia,JamerMejiaGarcia,0.0,3,complete
111,Jfcastroh,Jfcastroh,70.7,3,complete
112,LauraMolina,LauraMolina,8.400000000000006,3,complete
113,RafaelCruz15,RafaelCruz15,0.0,3,complete
114,adcorredorm,adcorredorm,0.0,3,complete
115,alebautis,alebautis,0.0,3,complete
116,ayperezc,ayperezc,18.0,3,complete
117,bfprietoc,bfprietoc,0.0,3,complete
118,biherrerap,biherrerap,66.2,3,complete
119,dahrojasca,dahrojasca,57.9,3,complete
120,davideperdomo,davideperdomo,27.200000000000003,3,complete
121,frnkbs,frnkbs,25.700000000000003,3,complete
122,gahormigag,gahormigag,0.0,3,complete
123,gimg1859,gimg1859,0.0,3,complete
124,ironhacktech2,ironhacktech2,13.099999999999994,3,complete
125,jannMorenoJ,jannMorenoJ,0.0,3,complete
126,jdgaitanf,jdgaitanf,59.0,3,complete
127,nikolasto,nikolasto,67.1,3,complete
128,pahigueraf,pahigueraf,0.0,3,complete
129,sarguellesr,sarguellesr,0.0,3,complete
130,uxjudges1,uxjudges1,0.0,3,complete
131,uxjudges,uxjudges,0.0,3,complete
132,vvargasd,vvargasd,0.0,3,complete
133,Acreed21,Acreed21,66.4,4,complete
134,Camiioo,Camiioo,53.9,4,complete
135,FredyRosero,FredyRosero,49.4,4,complete
136,JamerMejiaGarcia,JamerMejiaGarcia,0.0,4,complete
137,Jfcastroh,Jfcastroh,0.0,4,complete
138,LauraMolina,LauraMolina,8.5,4,complete
139,RafaelCruz15,RafaelCruz15,53.9,4,complete
140,adcorredorm,adcorredorm,32.3,4,complete
141,alebautis,alebautis,0.0,4,complete
142,ayperezc,ayperezc,0.0,4,complete
143,bfprietoc,bfprietoc,0.0,4,complete
144,biherrerap,biherrerap,11.900000000000006,4,complete
145,dahrojasca,dahrojasca,87.5,4,complete
146,davideperdomo,davideperdomo,24.200000000000003,4,complete
147,frnkbs,frnkbs,34.8,4,complete
148,gahormigag,gahormigag,0.0,4,complete
149,gimg1859,gimg1859,67.2,4,complete
150,ironhacktech2,ironhacktech2,13.099999999999994,4,complete
151,jannMorenoJ,jannMorenoJ,0.0,4,complete
152,jdgaitanf,jdgaitanf,59.0,4,complete
153,nikolasto,nikolasto,0.0,4,complete
154,pahigueraf,pahigueraf,30.400000000000006,4,complete
155,sarguellesr,sarguellesr,0.0,4,complete
156,uxjudges1,uxjudges1,0.0,4,complete
157,uxjudges,uxjudges,0.0,4,complete
158,vvargasd,vvargasd,0.0,4,complete
