,type,stage,dist_search
304,data,3,0.01
305,data,3,0.01
306,data,3,0.01
307,data,3,0.01
308,data,3,0.01
309,data,3,0.0789473684210526
310,data,3,0.99
311,data,3,0.2352941176470588
312,data,3,0.01
313,data,3,0.01
314,data,3,0.99
315,data,3,0.01
316,data,3,0.99
317,data,3,0.1944444444444444
318,data,3,0.01
319,data,3,0.01
320,data,3,0.01
321,data,3,0.01
322,data,3,0.01
323,data,4,0.01
324,data,4,0.01
325,data,4,0.01
326,data,4,0.01
327,data,4,0.01
328,data,4,0.2558139534883721
329,data,4,0.01
330,data,4,0.01
331,data,4,0.99
332,data,4,0.01
333,data,4,0.01
334,data,4,0.01
335,data,4,0.1489361702127659
336,data,4,0.01
337,data,4,0.01
338,data,4,0.01
339,data,4,0.01
340,data,4,0.99
341,data,4,0.99
342,data,4,0.01
343,data,4,0.01
344,data,4,0.3076923076923077
345,data,4,0.01
346,data,4,0.01
347,data,4,0.1428571428571429
348,data,4,0.01
349,data,4,0.01
350,data,4,0.2272727272727273
351,data,4,0.01
352,data,4,0.0645161290322581
353,data,4,0.01
354,data,4,0.99
355,data,4,0.01
356,data,4,0.99
357,data,4,0.01
358,data,4,0.7333333333333334
359,data,4,0.01
360,data,4,0.01
361,data,4,0.1999999999999999
362,data,4,0.01
363,data,4,0.01
364,data,4,0.01
365,data,4,0.01
366,data,4,0.99
367,data,4,0.01
368,data,4,0.99
369,data,4,0.01
370,data,4,0.99
371,data,4,0.01
372,data,4,0.01
373,data,4,0.01
374,data,4,0.01
375,data,4,0.99
376,data,4,0.01
377,data,4,0.99
378,data,4,0.01
379,data,4,0.01
380,data,4,0.01
381,data,4,0.01
382,data,4,0.4516129032258065
383,data,4,0.01
384,data,4,0.01
385,data,4,0.01
386,data,4,0.99
387,data,4,0.01
388,data,4,0.01
389,data,4,0.2222222222222222
390,data,4,0.01
391,data,4,0.01
392,data,4,0.01
393,data,4,0.4615384615384615
394,data,4,0.01
395,data,4,0.01
396,data,4,0.99
397,data,4,0.01
398,data,4,0.01
399,data,4,0.01
400,data,4,0.01
401,data,4,0.01
402,data,4,0.01
403,data,4,0.99
404,data,4,0.01
405,data,4,0.01
406,data,4,0.01
407,data,4,0.01
