,type,stage,dist_search,Unnamed: 0,user1,user2,user1_phase,user2_phase,similarity,temp
321,data,3,0.01,,,,,,,
322,data,3,0.01,,,,,,,
323,data,4,0.01,,,,,,,
324,data,4,0.01,,,,,,,
325,data,4,0.01,,,,,,,
326,data,4,0.01,,,,,,,
327,data,4,0.01,,,,,,,
328,data,4,0.2558139534883721,,,,,,,
329,data,4,0.01,,,,,,,
330,data,4,0.01,,,,,,,
331,data,4,0.99,,,,,,,
332,data,4,0.01,,,,,,,
333,data,4,0.01,,,,,,,
334,data,4,0.01,,,,,,,
335,data,4,0.1489361702127659,,,,,,,
336,data,4,0.01,,,,,,,
337,data,4,0.01,,,,,,,
338,data,4,0.01,,,,,,,
339,data,4,0.01,,,,,,,
340,data,4,0.99,,,,,,,
341,data,4,0.99,,,,,,,
342,data,4,0.01,,,,,,,
343,data,4,0.01,,,,,,,
344,data,4,0.3076923076923077,,,,,,,
345,data,4,0.01,,,,,,,
346,data,4,0.01,,,,,,,
347,data,4,0.1428571428571429,,,,,,,
348,data,4,0.01,,,,,,,
349,data,4,0.01,,,,,,,
350,data,4,0.2272727272727273,,,,,,,
351,data,4,0.01,,,,,,,
352,data,4,0.0645161290322581,,,,,,,
353,data,4,0.01,,,,,,,
354,data,4,0.99,,,,,,,
355,data,4,0.01,,,,,,,
356,data,4,0.99,,,,,,,
357,data,4,0.01,,,,,,,
358,data,4,0.7333333333333334,,,,,,,
359,data,4,0.01,,,,,,,
360,data,4,0.01,,,,,,,
361,data,4,0.1999999999999999,,,,,,,
362,data,4,0.01,,,,,,,
363,data,4,0.01,,,,,,,
364,data,4,0.01,,,,,,,
365,data,4,0.01,,,,,,,
366,data,4,0.99,,,,,,,
367,data,4,0.01,,,,,,,
368,data,4,0.99,,,,,,,
369,data,4,0.01,,,,,,,
370,data,4,0.99,,,,,,,
371,data,4,0.01,,,,,,,
372,data,4,0.01,,,,,,,
373,data,4,0.01,,,,,,,
374,data,4,0.01,,,,,,,
375,data,4,0.99,,,,,,,
376,data,4,0.01,,,,,,,
377,data,4,0.99,,,,,,,
378,data,4,0.01,,,,,,,
379,data,4,0.01,,,,,,,
380,data,4,0.01,,,,,,,
381,data,4,0.01,,,,,,,
382,data,4,0.4516129032258065,,,,,,,
383,data,4,0.01,,,,,,,
384,data,4,0.01,,,,,,,
385,data,4,0.01,,,,,,,
386,data,4,0.99,,,,,,,
387,data,4,0.01,,,,,,,
388,data,4,0.01,,,,,,,
389,data,4,0.2222222222222222,,,,,,,
390,data,4,0.01,,,,,,,
391,data,4,0.01,,,,,,,
392,data,4,0.01,,,,,,,
393,data,4,0.4615384615384615,,,,,,,
394,data,4,0.01,,,,,,,
395,data,4,0.01,,,,,,,
396,data,4,0.99,,,,,,,
397,data,4,0.01,,,,,,,
398,data,4,0.01,,,,,,,
399,data,4,0.01,,,,,,,
400,data,4,0.01,,,,,,,
401,data,4,0.01,,,,,,,
402,data,4,0.01,,,,,,,
403,data,4,0.99,,,,,,,
404,data,4,0.01,,,,,,,
405,data,4,0.01,,,,,,,
406,data,4,0.01,,,,,,,
407,data,4,0.01,,,,,,,
408,data,4,0.01,,,,,,,
409,data,4,0.01,,,,,,,
410,data,4,0.01,,,,,,,
411,data,4,0.01,,,,,,,
412,data,4,0.01,,,,,,,
413,data,4,0.01,,,,,,,
414,data,4,0.01,,,,,,,
415,data,4,0.5952380952380952,,,,,,,
416,data,4,0.01,,,,,,,
417,data,4,0.01,,,,,,,
418,data,4,0.01,,,,,,,
419,data,4,0.175,,,,,,,
420,data,4,0.01,,,,,,,
421,data,4,0.01,,,,,,,
422,data,4,0.01,,,,,,,
423,data,4,0.99,,,,,,,
424,data,4,0.01,,,,,,,
425,data,4,0.0769230769230768,,,,,,,
426,data,4,0.01,,,,,,,
427,data,4,0.01,,,,,,,
428,data,4,0.01,,,,,,,
429,data,4,0.01,,,,,,,
430,data,4,0.99,,,,,,,
431,novel,1,0.99,7.0,jmamaril25,jmamaril25,1.0,2.0,0.0,1.0
432,novel,1,0.01,182.0,hihms,hihms,1.0,2.0,1.0,1.0
433,novel,1,0.99,354.0,ko68,ko68,1.0,2.0,0.0,1.0
434,novel,1,0.99,524.0,Nigogu,Nigogu,1.0,2.0,0.0,1.0
435,novel,1,0.99,700.0,alejosaur,alejosaur,1.0,2.0,0.0,1.0
436,novel,1,0.99,876.0,pahigueraf,pahigueraf,1.0,2.0,0.0,1.0
437,novel,2,0.01,1044.0,mdecloedt,mdecloedt,2.0,3.0,1.0,1.0
438,novel,2,0.6666666666666667,1210.0,Jordan-Loeser,Jordan-Loeser,2.0,3.0,0.3333333333333333,1.0
439,novel,2,0.4444444444444444,1376.0,jmamaril25,jmamaril25,2.0,3.0,0.5555555555555556,1.0
440,novel,2,0.01,1540.0,noah-curran,noah-curran,2.0,3.0,1.0,1.0
441,novel,2,0.01,1705.0,matson3,matson3,2.0,3.0,1.0,1.0
442,novel,2,0.01,1868.0,littlex2015,littlex2015,2.0,3.0,1.0,1.0
443,novel,2,0.01,2030.0,hihms,hihms,2.0,3.0,1.0,1.0
444,novel,2,0.01,2190.0,zhao744,zhao744,2.0,3.0,1.0,1.0
445,novel,2,0.99,2349.0,ko68,ko68,2.0,3.0,0.0,1.0
