,link1_change,link2_change,ssim_exp,stage,comparison_type
119,jdgaitanf,jdgaitanf,51.0,2,maps
120,pahigueraf,pahigueraf,96.2,2,maps
121,sarguellesr,sarguellesr,0.0,2,maps
122,Acreed21,Acreed21,0.0,2,complete
123,Camiioo,Camiioo,74.6,2,complete
124,FredyRosero,FredyRosero,89.4,2,complete
125,JamerMejiaGarcia,JamerMejiaGarcia,0.0,2,complete
126,Jfcastroh,Jfcastroh,0.0,2,complete
127,LauraMolina,LauraMolina,0.0,2,complete
128,RafaelCruz15,RafaelCruz15,34.099999999999994,2,complete
129,adcorredorm,adcorredorm,0.0,2,complete
130,alebautis,alebautis,0.0,2,complete
131,ayperezc,ayperezc,0.0,2,complete
132,bfprietoc,bfprietoc,0.0,2,complete
133,biherrerap,biherrerap,0.0,2,complete
134,dahrojasca,dahrojasca,57.9,2,complete
135,davideperdomo,davideperdomo,40.8,2,complete
136,frnkbs,frnkbs,43.9,2,complete
137,gahormigag,gahormigag,0.0,2,complete
138,gimg1859,gimg1859,54.9,2,complete
139,ironhacktech2,ironhacktech2,0.0,2,complete
140,jannMorenoJ,jannMorenoJ,71.9,2,complete
141,jdgaitanf,jdgaitanf,57.0,2,complete
142,nikolasto,nikolasto,41.9,2,complete
143,pahigueraf,pahigueraf,64.7,2,complete
144,sarguellesr,sarguellesr,19.0,2,complete
145,uxjudges1,uxjudges1,0.0,2,complete
146,uxjudges,uxjudges,0.0,2,complete
147,vvargasd,vvargasd,0.0,2,complete
148,Acreed21,Acreed21,0.09999999999999432,2,simple
149,Camiioo,Camiioo,53.9,2,simple
150,FredyRosero,FredyRosero,66.2,2,simple
151,JamerMejiaGarcia,JamerMejiaGarcia,0.0,2,simple
152,Jfcastroh,Jfcastroh,0.0,2,simple
153,LauraMolina,LauraMolina,0.0,2,simple
154,RafaelCruz15,RafaelCruz15,9.799999999999997,2,simple
155,adcorredorm,adcorredorm,0.0,2,simple
156,alebautis,alebautis,0.0,2,simple
157,ayperezc,ayperezc,0.0,2,simple
158,bfprietoc,bfprietoc,0.0,2,simple
159,biherrerap,biherrerap,0.0,2,simple
160,dahrojasca,dahrojasca,57.9,2,simple
161,frnkbs,frnkbs,43.9,2,simple
162,gahormigag,gahormigag,0.0,2,simple
163,gimg1859,gimg1859,0.0,2,simple
164,ironhacktech2,ironhacktech2,0.0,2,simple
165,jannMorenoJ,jannMorenoJ,71.9,2,simple
166,jdgaitanf,jdgaitanf,50.5,2,simple
167,nikolasto,nikolasto,28.0,2,simple
168,pahigueraf,pahigueraf,46.1,2,simple
169,sarguellesr,sarguellesr,13.700000000000003,2,simple
170,uxjudges1,uxjudges1,0.0,2,simple
171,uxjudges,uxjudges,0.0,2,simple
172,vvargasd,vvargasd,0.0,2,simple
173,Acreed21,Acreed21,0.0,3,maps
174,Camiioo,Camiioo,63.7,3,maps
