,username,stage,dist_search_novel,type,dist_search_vis,dist_search_data
121,littlex2015,1,0.0,maps,0.622,0.0
122,littlex2015,1,0.0,maps,0.622,0.0
123,mdecloedt,1,0.0,maps,0.01,0.0
124,mdecloedt,1,0.0,maps,0.01,0.0
125,nbraunec,1,0.0,maps,0.939,0.0
126,nbraunec,1,0.0,maps,0.939,0.0
127,viswapurdue,1,0.0,maps,0.968,0.0
128,viswapurdue,1,0.0,maps,0.968,0.0
129,AkaGar,1,0.0,complete,0.635,0.0
130,AkaGar,1,0.0,complete,0.635,0.0
131,CampbellC2,1,0.0,complete,0.529,0.0
132,CampbellC2,1,0.0,complete,0.529,0.0
133,GeoffYart,1,0.0,complete,0.762,0.0
134,GeoffYart,1,0.0,complete,0.762,0.0
135,Ilyumzhinov,1,0.0,complete,0.5,0.0
136,Ilyumzhinov,1,0.0,complete,0.5,0.0
137,Jordan-Loeser,1,0.0,complete,0.043,0.0
138,Jordan-Loeser,1,0.0,complete,0.043,0.0
139,LukasMMarinovic,1,0.0,complete,0.316,0.0
140,LukasMMarinovic,1,0.0,complete,0.316,0.0
141,RCODI,1,0.0,complete,0.821,0.0
142,RCODI,1,0.0,complete,0.821,0.0
143,SionHu,1,0.0,complete,0.462,0.0
144,SionHu,1,0.0,complete,0.462,0.0
145,aclipfel,1,0.0,complete,0.01,0.0
146,aclipfel,1,0.0,complete,0.01,0.0
147,bzin22,1,0.0,complete,0.908,0.0
148,bzin22,1,0.0,complete,0.908,0.0
149,ecottle,1,0.0,complete,0.528,0.0
150,ecottle,1,0.0,complete,0.528,0.0
151,gshowal,1,0.0,complete,0.796,0.0
152,gshowal,1,0.0,complete,0.796,0.0
153,hihms,1,0.0,complete,0.014,0.0
154,hihms,1,0.0,complete,0.014,0.0
155,jmamaril25,1,0.0,complete,0.403,0.0
156,jmamaril25,1,0.0,complete,0.403,0.0
157,jmhunter4711,1,0.0,complete,0.01,0.0
158,jmhunter4711,1,0.0,complete,0.01,0.0
159,ko68,1,0.0,complete,0.002,0.0
160,ko68,1,0.0,complete,0.002,0.0
161,laurarotger,1,0.0,complete,0.01,0.0
162,laurarotger,1,0.0,complete,0.01,0.0
163,laurenjank,1,0.0,complete,0.283,0.0
164,laurenjank,1,0.0,complete,0.283,0.0
165,lennwgs,1,0.0,complete,0.699,0.0
166,lennwgs,1,0.0,complete,0.699,0.0
167,littlex2015,1,0.0,complete,0.578,0.0
168,littlex2015,1,0.0,complete,0.578,0.0
169,matson3,1,0.0,complete,0.676,0.0
170,matson3,1,0.0,complete,0.676,0.0
171,mdecloedt,1,0.0,complete,0.838,0.0
172,mdecloedt,1,0.0,complete,0.838,0.0
173,nbraunec,1,0.0,complete,0.653,0.0
174,nbraunec,1,0.0,complete,0.653,0.0
175,noah-curran,1,0.0,complete,0.278,0.0
176,noah-curran,1,0.0,complete,0.278,0.0
177,sanjitsama,1,0.0,complete,0.605,0.0
178,sanjitsama,1,0.0,complete,0.605,0.0
179,shivans,1,0.0,complete,0.734,0.0
180,shivans,1,0.0,complete,0.734,0.0
181,snugghash,1,0.0,complete,0.31,0.0
182,snugghash,1,0.0,complete,0.31,0.0
183,viswapurdue,1,0.0,complete,0.64,0.0
184,viswapurdue,1,0.0,complete,0.64,0.0
185,whipplem123,1,0.0,complete,0.011,0.0
186,whipplem123,1,0.0,complete,0.011,0.0
187,zhao744,1,0.0,complete,0.489,0.0
188,zhao744,1,0.0,complete,0.489,0.0
189,AkaGar,1,0.0,simple,0.193,0.0
190,AkaGar,1,0.0,simple,0.193,0.0
191,CampbellC2,1,0.0,simple,0.529,0.0
192,CampbellC2,1,0.0,simple,0.529,0.0
193,GeoffYart,1,0.0,simple,0.241,0.0
194,GeoffYart,1,0.0,simple,0.241,0.0
195,Ilyumzhinov,1,0.0,simple,0.5,0.0
