,username,hack id,repo name,time,climate dataset,extra dataset used,extra dataset list,google api,location,using JS,mashup,readme,good readme,chart,if use library,library list,error_raw,error_normal,tech_point_raw,tech_point_normal,tech_per,tech_detail,user_requirement,user_requirement_normal,user_requirement_per,user_detail,infovis,infoVis_normal,infoVis_per,infovis_detail,combined_infovis_raw,combined_infovis_norm,combined_infovis_per,novelty,novelty_normal,novelty_per,novelty_detail,total_raw,total_norm,total_norm_per,phase
297,anferoar96,unal2,IH-Project-2017-anferoar96_webapp_phase3,Wed Nov 15 19:18:47 2017,0,1,"New York City Museums, ",1,1,1,1,1,1,1,1,"jquery,bootstrap,",0.041025641025641,95.8974358974359,9,90,81.48%,"0,1,1,1,1,1,1,1,1,",2,40,92.59%,"1.0,0.0,0.0,0.0,1.0,",2,11.11111111111111,66.67%,"1.0,0.0,1.0,0.0,0.0,0.0,",4,17.391304347826086,81.48%,3,0.6666666666666667,70.37%,"1.0,1.0,1.0,;",16,221.3467112597548,85.19%,3
298,StevenEsmar,unal2,IH-Project-2017-StevenEsmar_webapp_phase3,Wed Nov 15 19:18:47 2017,0,0,[],1,1,1,0,0,0,1,0,,0.088235294117647,91.17647058823528,5,50,51.85%,"0,1,1,1,0,0,0,1,0,",1,20,48.15%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,66.67%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,66.67%,0,0.0,0.0%,,8,167.26342710997443,62.96%,3
299,dcastanedar,unal2,IH-Project-2017-dcastanedar_webapp_phase3,Wed Nov 15 19:18:47 2017,0,0,[],0,0,1,0,0,0,1,0,,0.0333333333333333,96.66666666666669,3,30,0.0%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,3,126.66666666666669,0.0%,3
300,trickyjuggler,unal2,IH-Project-2017-trickyjuggler_webapp_phase3,Wed Nov 15 19:18:47 2017,0,3,"New York City Art Galleries, School Safety Report, New York City Museums, ",1,1,1,1,1,1,1,1,"jquery,bootstrap,angular,",0.0046728971962616,99.53271028037383,9,90,88.89%,"0,1,1,1,1,1,1,1,1,",1,20,48.15%,"1.0,0.0,0.0,0.0,0.0,",3,16.666666666666664,85.19%,"1.0,0.0,1.0,0.0,1.0,0.0,",4,17.391304347826086,81.48%,7,1.5555555555555556,85.19%,"1.0,1.0,1.0,;1.0,0.0,0.0,;1.0,1.0,1.0,;",20,225.87087453158156,88.89%,3
301,DaveValencia,unal2,IH-Project-2017-DaveValencia_webapp_phase3,Wed Nov 15 19:18:47 2017,0,0,[],0,0,1,0,0,0,1,0,,0.0333333333333333,96.66666666666669,3,30,0.0%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,3,126.66666666666669,0.0%,3
302,csalfonsol,unal2,IH-Project-2017-csalfonsol_webapp_phase3,Wed Nov 15 19:18:47 2017,0,0,[],1,1,1,1,0,0,1,1,"jquery,bootstrap,animate,",0.0131578947368421,98.68421052631578,7,70,74.07%,"0,1,1,1,1,0,0,1,1,",1,20,48.15%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,66.67%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,66.67%,0,0.0,0.0%,,10,194.7711670480549,74.07%,3
303,tres-xxx,unal2,IH-Project-2017-tres-xxx_webapp_phase3,Wed Nov 15 19:18:47 2017,0,0,[],0,0,1,0,0,0,1,0,,0.0333333333333333,96.66666666666669,3,30,0.0%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,3,126.66666666666669,0.0%,3
304,buendiagon,unal2,IH-Project-2017-buendiagon_webapp_phase3,Wed Nov 15 19:18:47 2017,0,0,[],0,0,1,0,0,0,1,0,,0.0333333333333333,96.66666666666669,3,30,0.0%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,3,126.66666666666669,0.0%,3
305,DSFarfanF,unal2,IH-Project-2017-DSFarfanF_webapp_phase3,Wed Nov 15 19:18:47 2017,0,0,[],0,0,1,0,0,0,1,0,,0.0333333333333333,96.66666666666669,3,30,0.0%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,3,126.66666666666669,0.0%,3
306,jssanchezo,unal2,IH-Project-2017-jssanchezo_webapp_phase3,Wed Nov 15 19:18:47 2017,0,0,[],0,0,1,0,0,0,1,0,,0.0333333333333333,96.66666666666669,3,30,0.0%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,3,126.66666666666669,0.0%,3
