,username,hack id,repo name,time,climate dataset,extra dataset used,extra dataset list,google api,location,using JS,mashup,readme,good readme,chart,if use library,library list,error_raw,error_normal,tech_point_raw,tech_point_normal,tech_per,tech_detail,user_requirement,user_requirement_normal,user_requirement_per,user_detail,infovis,infoVis_normal,infoVis_per,infovis_detail,combined_infovis_raw,combined_infovis_norm,combined_infovis_per,novelty,novelty_normal,novelty_per,novelty_detail,total_raw,total_norm,total_norm_per,phase
0,mdecloedt,honors0,IH-Project-2017-mdecloedt_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,[],0,0,1,0,1,1,1,1,"angular,",0.0666666666666666,93.33333333333331,6,60,40.74%,"0,0,0,1,0,1,1,1,1,",1,20,40.74%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,55.56%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,70.37%,0,0.0,0.0%,,9,179.42028985507244,59.26%,1
1,Jordan-Loeser,honors0,IH-Project-2017-Jordan-Loeser_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,[],1,1,1,0,1,1,1,0,,0.0169491525423728,98.30508474576273,7,70,77.78%,"0,1,1,1,0,1,1,1,0,",1,20,40.74%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,55.56%,"1.0,0.0,0.0,1.0,0.0,0.0,",3,13.043478260869565,70.37%,0,0.0,0.0%,,10,194.39204126750184,85.19%,1
2,LukasMMarinovic,honors0,IH-Project-2017-LukasMMarinovic_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,[],0,0,1,0,1,1,1,1,"bootstrap,",0.0180722891566265,98.19277108433737,6,60,55.56%,"0,0,0,1,0,1,1,1,1,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,55.56%,"1.0,0.0,1.0,0.0,0.0,0.0,",2,8.695652173913043,40.74%,0,0.0,0.0%,,8,175.58407543216344,55.56%,1
3,whipplem123,honors0,IH-Project-2017-whipplem123_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,[],0,0,1,0,1,1,1,0,,0.0,100.0,5,50,37.04%,"0,0,0,1,0,1,1,1,0,",1,20,40.74%,"1.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",1,4.3478260869565215,22.22%,0,0.0,0.0%,,6,158.69565217391303,37.04%,1
4,SionHu,honors0,IH-Project-2017-SionHu_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,[],1,0,1,0,1,1,1,0,,0.0144927536231884,98.55072463768116,6,60,59.26%,"0,1,0,1,0,1,1,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,6,158.55072463768118,33.33%,1
5,jmamaril25,honors0,IH-Project-2017-jmamaril25_webapp_phase1,Sun Nov  5 20:39:31 2017,1,1,"Required Weather API, ",1,1,1,0,1,1,1,1,"materialize,jquery,",0.0,100.0,9,90,92.59%,"1,1,1,1,0,1,1,1,1,",1,20,40.74%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,55.56%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,70.37%,3,0.6666666666666667,88.89%,"3.0,0.0,0.0,;",15,216.75362318840575,92.59%,1
6,lennwgs,honors0,IH-Project-2017-lennwgs_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,[],1,1,1,1,0,0,1,1,"bootstrap,",0.0227272727272727,97.72727272727272,7,70,70.37%,"0,1,1,1,1,0,0,1,1,",1,20,40.74%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,55.56%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,70.37%,0,0.0,0.0%,,10,193.81422924901187,81.48%,1
7,viswapurdue,honors0,IH-Project-2017-viswapurdue_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,[],1,1,1,0,1,1,1,0,,0.0147058823529411,98.52941176470588,7,70,81.48%,"0,1,1,1,0,1,1,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,55.56%,"1.0,0.0,1.0,0.0,0.0,0.0,",2,8.695652173913043,40.74%,0,0.0,0.0%,,9,185.920716112532,70.37%,1
8,CampbellC2,honors0,IH-Project-2017-CampbellC2_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,[],0,0,1,0,0,0,1,0,,0.0785340314136125,92.14659685863874,3,30,3.7%,"0,0,0,1,0,0,0,1,0,",3,60,96.3%,"1.0,1.0,0.0,0.0,1.0,",3,16.666666666666664,92.59%,"1.0,1.0,0.0,0.0,0.0,1.0,",6,26.08695652173913,96.3%,0,0.0,0.0%,,9,174.320509902117,48.15%,1
9,noah-curran,honors0,IH-Project-2017-noah-curran_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,[],0,0,1,0,0,0,1,1,"animate,font-awesome,",0.0307692307692307,96.92307692307692,4,40,22.22%,"0,0,0,1,0,0,0,1,1,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",3,16.666666666666664,92.59%,"2.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,70.37%,0,0.0,0.0%,,7,163.01003344481603,44.44%,1
10,laurenjank,honors0,IH-Project-2017-laurenjank_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,[],1,1,1,0,1,1,1,0,,0.0389610389610389,96.1038961038961,7,70,62.96%,"0,1,1,1,0,1,1,1,0,",1,20,40.74%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,55.56%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,70.37%,0,0.0,0.0%,,10,192.1908526256352,77.78%,1
11,bzin22,honors0,IH-Project-2017-bzin22_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,[],0,0,1,0,0,0,1,0,,0.0412371134020618,95.8762886597938,3,30,7.41%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,55.56%,"1.0,0.0,1.0,0.0,0.0,0.0,",2,8.695652173913043,40.74%,0,0.0,0.0%,,5,143.2675930076199,14.81%,1
12,AkaGar,honors0,IH-Project-2017-AkaGar_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,[],1,1,1,0,1,1,1,1,"bootstrap,d3,jquery,",0.0526315789473684,94.73684210526316,8,80,88.89%,"0,1,1,1,0,1,1,1,1,",1,20,40.74%,"1.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",1,4.3478260869565215,22.22%,0,0.0,0.0%,,9,183.4324942791762,62.96%,1
13,matson3,honors0,IH-Project-2017-matson3_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,[],1,1,1,0,1,1,1,0,,0.0,100.0,7,70,85.19%,"0,1,1,1,0,1,1,1,0,",1,20,40.74%,"1.0,0.0,0.0,0.0,0.0,",1,5.555555555555555,40.74%,"1.0,0.0,0.0,0.0,0.0,0.0,",2,8.695652173913043,40.74%,0,0.0,0.0%,,9,187.3913043478261,74.07%,1
14,ecottle,honors0,IH-Project-2017-ecottle_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,[],0,0,1,0,1,1,1,0,,0.0212765957446808,97.87234042553192,5,50,33.33%,"0,0,0,1,0,1,1,1,0,",1,20,40.74%,"1.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",1,4.3478260869565215,22.22%,0,0.0,0.0%,,6,156.56799259944495,25.93%,1
15,littlex2015,honors0,IH-Project-2017-littlex2015_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,[],1,1,1,0,1,1,1,0,,0.024390243902439,97.5609756097561,7,70,66.67%,"0,1,1,1,0,1,1,1,0,",1,20,40.74%,"1.0,0.0,0.0,0.0,0.0,",1,5.555555555555555,40.74%,"1.0,0.0,0.0,0.0,0.0,0.0,",2,8.695652173913043,40.74%,0,0.0,0.0%,,9,184.9522799575822,66.67%,1
16,shivans,honors0,IH-Project-2017-shivans_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,[],0,0,1,0,1,1,1,0,,0.0476190476190476,95.23809523809524,5,50,29.63%,"0,0,0,1,0,1,1,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,55.56%,"1.0,0.0,1.0,0.0,0.0,0.0,",2,8.695652173913043,40.74%,0,0.0,0.0%,,7,162.62939958592133,40.74%,1
17,nbraunec,honors0,IH-Project-2017-nbraunec_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,[],0,0,1,0,0,0,1,0,,0.0333333333333333,96.66666666666669,3,30,11.11%,"0,0,0,1,0,0,0,1,0,",1,20,40.74%,"1.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",1,4.3478260869565215,22.22%,0,0.0,0.0%,,4,135.36231884057972,7.41%,1
18,sanjitsama,honors0,IH-Project-2017-sanjitsama_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,[],1,1,1,0,0,0,1,1,"bootstrap,d3,jquery,",0.0259740259740259,97.4025974025974,6,60,48.15%,"0,1,1,1,0,0,0,1,1,",1,20,40.74%,"1.0,0.0,0.0,0.0,0.0,",1,5.555555555555555,40.74%,"1.0,0.0,0.0,0.0,0.0,0.0,",2,8.695652173913043,40.74%,0,0.0,0.0%,,8,174.7939017504235,51.85%,1
19,Ilyumzhinov,honors0,IH-Project-2017-Ilyumzhinov_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,[],0,0,1,0,1,1,1,0,,0.0606060606060606,93.93939393939394,5,50,25.93%,"0,0,0,1,0,1,1,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,5,143.93939393939394,18.52%,1
20,hihms,honors0,IH-Project-2017-hihms_webapp_phase1,Sun Nov  5 20:39:31 2017,0,1,"Required Weather API, ",0,1,1,0,1,1,1,1,"bootstrap,d3,jquery,",0.0202247191011235,97.97752808988764,7,70,74.07%,"0,0,1,1,0,1,1,1,1,",1,20,40.74%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,55.56%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,70.37%,7,1.5555555555555556,96.3%,"3.0,3.0,1.0,;",17,195.6200401671823,88.89%,1
21,snugghash,honors0,IH-Project-2017-snugghash_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,[],0,0,1,0,1,1,1,1,"materialize,jquery,",0.0246913580246913,97.53086419753086,6,60,51.85%,"0,0,0,1,0,1,1,1,1,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,6,157.53086419753086,29.63%,1
22,zhao744,honors0,IH-Project-2017-zhao744_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,[],0,0,1,0,1,1,1,1,"bootstrap,jquery,",0.0471698113207547,95.28301886792453,6,60,44.44%,"0,0,0,1,0,1,1,1,1,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,6,155.2830188679245,22.22%,1
23,aclipfel,honors0,IH-Project-2017-aclipfel_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,[],0,0,1,0,0,0,1,0,,0.0333333333333333,96.66666666666669,3,30,11.11%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,3,126.66666666666669,3.7%,1
24,ko68,honors0,IH-Project-2017-ko68_webapp_phase1,Sun Nov  5 20:39:31 2017,1,1,"Required Weather API, ",1,1,1,1,1,1,1,1,"jquery,",0.0070422535211267,99.29577464788731,10,100,96.3%,"1,1,1,1,1,1,1,1,1,",1,20,40.74%,"1.0,0.0,0.0,0.0,0.0,",1,5.555555555555555,40.74%,"0.0,0.0,1.0,0.0,0.0,0.0,",2,8.695652173913043,40.74%,3,0.6666666666666667,88.89%,"3.0,0.0,0.0,;",15,217.35374566238008,96.3%,1
25,GeoffYart,honors0,IH-Project-2017-GeoffYart_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,[],0,0,1,0,0,0,1,0,,0.0333333333333333,96.66666666666669,3,30,11.11%,"0,0,0,1,0,0,0,1,0,",1,20,40.74%,"1.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",1,4.3478260869565215,22.22%,0,0.0,0.0%,,4,135.36231884057972,7.41%,1
26,jmhunter4711,honors0,IH-Project-2017-jmhunter4711_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,[],0,0,1,0,0,0,1,0,,0.0,100.0,3,30,0.0%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,3,0.0,0.0%,1
27,Nigogu,unal0,IH-Project-2017-Nigogu_webapp_phase1,Sun Nov  5 20:39:31 2017,1,1,"Required Weather API, ",1,1,1,0,1,1,1,1,"bootstrap,jquery,",0.0206896551724137,97.93103448275862,9,90,96.3%,"1,1,1,1,0,1,1,1,1,",1,20,48.15%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,66.67%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,66.67%,3,0.6666666666666667,96.3%,"3.0,0.0,0.0,;",15,214.6846576711644,96.3%,1
28,Daryhez,unal0,IH-Project-2017-Daryhez_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,[],1,1,1,0,0,0,1,1,"bootstrap,jquery,",0.9142857142857144,8.571428571428575,6,60,0.0%,"0,1,1,1,0,0,0,1,1,",1,20,48.15%,"1.0,0.0,0.0,0.0,0.0,",1,5.555555555555555,44.44%,"1.0,0.0,0.0,0.0,0.0,0.0,",2,8.695652173913043,55.56%,0,0.0,0.0%,,8,85.96273291925465,3.7%,1
29,daapinzonch,unal0,IH-Project-2017-daapinzonch_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,[],1,0,1,0,1,1,1,1,"bootstrap,",0.0545454545454545,94.54545454545456,7,70,77.78%,"0,1,0,1,0,1,1,1,1,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,7,164.54545454545456,70.37%,1
30,fewilchesc,unal0,IH-Project-2017-fewilchesc_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,[],0,0,0,0,0,0,0,0,,0.0,100.0,1,10,3.7%,"0,0,0,0,0,0,0,0,0,",0,0,0.0%,,0,0.0,0.0%,,0,0.0,0.0%,0,0.0,0.0%,,0,0.0,0.0%,1
31,JorgeTorresC,unal0,IH-Project-2017-JorgeTorresC_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,[],0,0,1,0,0,0,1,1,"bootstrap,",0.0238095238095238,97.61904761904762,4,40,59.26%,"0,0,0,1,0,0,0,1,1,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,4,137.61904761904762,33.33%,1
32,anythinglord,unal0,IH-Project-2017-anythinglord_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,[],0,1,1,0,0,0,1,0,,0.072,92.8,4,40,44.44%,"0,0,1,1,0,0,0,1,0,",1,20,48.15%,"1.0,0.0,0.0,0.0,0.0,",1,5.555555555555555,44.44%,"1.0,0.0,0.0,0.0,0.0,0.0,",2,8.695652173913043,55.56%,0,0.0,0.0%,,6,150.1913043478261,48.15%,1
33,criscapunal,unal0,IH-Project-2017-criscapunal_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,[],1,1,1,0,1,1,1,1,"react,bootstrap,",0.0163934426229508,98.36065573770492,8,80,88.89%,"0,1,1,1,0,1,1,1,1,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",1,5.555555555555555,44.44%,"1.0,0.0,0.0,0.0,0.0,0.0,",1,4.3478260869565215,33.33%,0,0.0,0.0%,,9,187.05630791161795,81.48%,1
34,dieguischa,unal0,IH-Project-2017-dieguischa_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,[],0,0,1,0,0,0,1,0,,0.0333333333333333,96.66666666666669,3,30,7.41%,"0,0,0,1,0,0,0,1,0,",1,20,48.15%,"1.0,0.0,0.0,0.0,0.0,",3,16.666666666666664,88.89%,"1.0,0.0,1.0,1.0,0.0,0.0,",4,17.391304347826086,92.59%,0,0.0,0.0%,,7,161.44927536231884,66.67%,1
35,Orloffyeah,unal0,IH-Project-2017-Orloffyeah_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,[],1,1,1,0,1,1,1,1,"bootstrap,jquery,",0.0,100.0,8,80,92.59%,"0,1,1,1,0,1,1,1,1,",1,20,48.15%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,66.67%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,66.67%,0,0.0,0.0%,,11,206.08695652173915,92.59%,1
36,SergioLopez40,unal0,IH-Project-2017-SergioLopez40_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,[],0,0,1,0,0,0,1,0,,0.0333333333333333,96.66666666666669,3,30,7.41%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,3,126.66666666666669,7.41%,1
37,DiegoAraque1207,unal0,IH-Project-2017-DiegoAraque1207_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,[],0,0,1,0,0,0,1,1,"bootstrap,",0.0224719101123595,97.75280898876404,4,40,62.96%,"0,0,0,1,0,0,0,1,1,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",1,5.555555555555555,44.44%,"1.0,0.0,0.0,0.0,0.0,0.0,",1,4.3478260869565215,33.33%,0,0.0,0.0%,,5,146.4484611626771,44.44%,1
38,olimita,unal0,IH-Project-2017-olimita_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,[],1,1,1,1,0,0,1,1,"bootstrap,jquery,",0.0289855072463768,97.10144927536231,7,70,81.48%,"0,1,1,1,1,0,0,1,1,",1,20,48.15%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,66.67%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,66.67%,0,0.0,0.0%,,10,193.18840579710144,85.19%,1
39,yaochoal,unal0,IH-Project-2017-yaochoal_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,[],1,1,1,0,1,1,1,1,"bootstrap,jquery,",0.0434782608695652,95.65217391304348,8,80,85.19%,"0,1,1,1,0,1,1,1,1,",1,20,48.15%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,66.67%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,66.67%,0,0.0,0.0%,,11,201.73913043478265,88.89%,1
40,Gavnic,unal0,IH-Project-2017-Gavnic_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,[],0,0,1,0,0,0,1,0,,0.0333333333333333,96.66666666666669,3,30,7.41%,"0,0,0,1,0,0,0,1,0,",1,20,48.15%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,66.67%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,66.67%,0,0.0,0.0%,,6,152.7536231884058,51.85%,1
41,Joacampora,unal0,IH-Project-2017-Joacampora_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,[],0,1,1,0,0,0,1,1,"bootstrap,d3,jquery,",0.0394736842105263,96.05263157894736,5,50,66.67%,"0,0,1,1,0,0,0,1,1,",1,20,48.15%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,66.67%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,66.67%,0,0.0,0.0%,,8,172.1395881006865,74.07%,1
42,Ozai98,unal0,IH-Project-2017-Ozai98_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,[],0,0,1,0,0,0,1,1,"bootstrap,jquery,",0.0240963855421686,97.59036144578312,4,40,55.56%,"0,0,0,1,0,0,0,1,1,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",1,5.555555555555555,44.44%,"1.0,0.0,0.0,0.0,0.0,0.0,",1,4.3478260869565215,33.33%,0,0.0,0.0%,,5,146.28601361969615,40.74%,1
43,nviverosb,unal0,IH-Project-2017-nviverosb_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,[],1,1,1,0,0,0,1,0,,0.0208333333333333,97.91666666666666,5,50,70.37%,"0,1,1,1,0,0,0,1,0,",1,20,48.15%,"1.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",1,4.3478260869565215,33.33%,0,0.0,0.0%,,6,156.6123188405797,62.96%,1
44,Sariilan,unal0,IH-Project-2017-Sariilan_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,[],0,0,1,0,0,0,1,0,,0.0333333333333333,96.66666666666669,3,30,7.41%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,3,126.66666666666669,7.41%,1
45,Alekzu,unal0,IH-Project-2017-Alekzu_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,[],0,0,1,0,0,0,1,0,,0.0333333333333333,96.66666666666669,3,30,7.41%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,3,126.66666666666669,7.41%,1
46,vvargasd,unal0,IH-Project-2017-vvargasd_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,[],0,0,1,0,0,0,1,0,,0.0333333333333333,96.66666666666669,3,30,7.41%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,3,126.66666666666669,7.41%,1
47,biherrerap,unal0,IH-Project-2017-biherrerap_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,[],0,0,1,0,0,0,1,1,"bootstrap,",0.0386740331491712,96.13259668508287,4,40,48.15%,"0,0,0,1,0,0,0,1,1,",1,20,48.15%,"1.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",1,4.3478260869565215,33.33%,0,0.0,0.0%,,5,144.82824885899592,37.04%,1
48,bfprietoc,unal0,IH-Project-2017-bfprietoc_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,[],0,0,1,0,0,0,1,0,,0.0333333333333333,96.66666666666669,3,30,7.41%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,3,126.66666666666669,7.41%,1
49,LauraMolina,unal0,IH-Project-2017-LauraMolina_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,[],0,1,1,0,0,0,1,1,"bootstrap,font-awesome,jquery,",0.0,100.0,5,50,74.07%,"0,0,1,1,0,0,0,1,1,",1,20,48.15%,"1.0,0.0,0.0,0.0,0.0,",3,16.666666666666664,88.89%,"1.0,0.0,1.0,0.0,1.0,0.0,",4,17.391304347826086,92.59%,0,0.0,0.0%,,9,184.7826086956522,77.78%,1
50,Acreed21,unal0,IH-Project-2017-Acreed21_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,[],0,0,1,0,0,0,1,0,,0.0333333333333333,96.66666666666669,3,30,7.41%,"0,0,0,1,0,0,0,1,0,",1,20,48.15%,"1.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",1,4.3478260869565215,33.33%,0,0.0,0.0%,,4,135.36231884057972,29.63%,1
51,Camiioo,unal0,IH-Project-2017-Camiioo_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,[],0,0,1,0,0,0,1,0,,0.0333333333333333,96.66666666666669,3,30,7.41%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",3,16.666666666666664,88.89%,"2.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,66.67%,0,0.0,0.0%,,6,152.7536231884058,51.85%,1
52,frnkbs,unal0,IH-Project-2017-frnkbs_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,[],0,0,1,0,0,0,1,1,"bootstrap,",0.0303030303030303,96.96969696969695,4,40,51.85%,"0,0,0,1,0,0,0,1,1,",1,20,48.15%,"1.0,0.0,0.0,0.0,0.0,",1,5.555555555555555,44.44%,"0.0,0.0,1.0,0.0,0.0,0.0,",2,8.695652173913043,55.56%,0,0.0,0.0%,,6,154.36100131752306,59.26%,1
53,Jfcastroh,unal0,IH-Project-2017-Jfcastroh_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,[],0,0,1,0,0,0,1,0,,0.0333333333333333,96.66666666666669,3,30,7.41%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,3,126.66666666666669,7.41%,1
54,evilcucaracha,unal1,IH-Project-2017-evilcucaracha_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,[],0,0,0,0,0,0,0,0,,0.0,100.0,1,10,0.0%,"0,0,0,0,0,0,0,0,0,",1,20,55.56%,"1.0,0.0,0.0,0.0,0.0,",1,5.555555555555555,55.56%,"1.0,0.0,0.0,0.0,0.0,0.0,",2,8.695652173913043,55.56%,0,0.0,0.0%,,3,127.3913043478261,33.33%,1
55,JulianM96,unal1,IH-Project-2017-JulianM96_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,[],1,0,1,1,0,0,1,1,"bootstrap,",0.1162790697674418,88.37209302325581,6,60,55.56%,"0,1,0,1,1,0,0,1,1,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",3,16.666666666666664,92.59%,"2.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,66.67%,0,0.0,0.0%,,9,174.45904954499494,62.96%,1
56,Saariasba,unal1,IH-Project-2017-Saariasba_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,[],0,0,1,0,0,0,1,1,"bootstrap,",0.032258064516129,96.7741935483871,4,40,40.74%,"0,0,0,1,0,0,0,1,1,",1,20,55.56%,"1.0,0.0,0.0,0.0,0.0,",1,5.555555555555555,55.56%,"1.0,0.0,0.0,0.0,0.0,0.0,",2,8.695652173913043,55.56%,0,0.0,0.0%,,6,154.1654978962132,48.15%,1
