,username,dist_search,stage,type
185,whipplem123,0.011,1,complete
186,whipplem123,0.011,1,complete
187,zhao744,0.489,1,complete
188,zhao744,0.489,1,complete
189,AkaGar,0.193,1,simple
190,AkaGar,0.193,1,simple
191,CampbellC2,0.529,1,simple
192,CampbellC2,0.529,1,simple
193,GeoffYart,0.241,1,simple
194,GeoffYart,0.241,1,simple
195,Ilyumzhinov,0.5,1,simple
196,Ilyumzhinov,0.5,1,simple
197,Jordan-Loeser,0.043,1,simple
198,Jordan-Loeser,0.043,1,simple
199,LukasMMarinovic,0.316,1,simple
200,LukasMMarinovic,0.316,1,simple
201,RCODI,0.821,1,simple
202,RCODI,0.821,1,simple
203,aclipfel,0.01,1,simple
204,aclipfel,0.01,1,simple
205,bzin22,0.95,1,simple
206,bzin22,0.95,1,simple
207,ecottle,0.528,1,simple
208,ecottle,0.528,1,simple
209,gshowal,0.796,1,simple
210,gshowal,0.796,1,simple
211,hihms,0.284,1,simple
212,hihms,0.284,1,simple
213,jmamaril25,0.51,1,simple
214,jmamaril25,0.51,1,simple
215,jmhunter4711,0.01,1,simple
216,jmhunter4711,0.01,1,simple
217,ko68,0.002,1,simple
218,ko68,0.002,1,simple
219,laurarotger,0.01,1,simple
220,laurarotger,0.01,1,simple
221,laurenjank,0.067,1,simple
222,laurenjank,0.067,1,simple
223,lennwgs,0.678,1,simple
224,lennwgs,0.678,1,simple
225,littlex2015,0.908,1,simple
226,littlex2015,0.908,1,simple
227,matson3,0.999,1,simple
228,matson3,0.999,1,simple
229,mdecloedt,0.356,1,simple
230,mdecloedt,0.356,1,simple
231,noah-curran,0.172,1,simple
232,noah-curran,0.172,1,simple
233,sanjitsama,0.605,1,simple
234,sanjitsama,0.605,1,simple
235,shivans,0.734,1,simple
236,shivans,0.734,1,simple
237,snugghash,0.241,1,simple
238,snugghash,0.241,1,simple
239,viswapurdue,0.263,1,simple
240,viswapurdue,0.263,1,simple
241,whipplem123,0.011,1,simple
242,whipplem123,0.011,1,simple
243,zhao744,0.48,1,simple
244,zhao744,0.48,1,simple
245,AkaGar,0.01,2,maps
246,AkaGar,0.01,2,maps
247,bzin22,0.015,2,maps
248,bzin22,0.015,2,maps
249,hihms,0.01,2,maps
250,hihms,0.01,2,maps
251,jmamaril25,0.117,2,maps
252,jmamaril25,0.117,2,maps
253,ko68,0.01,2,maps
254,ko68,0.01,2,maps
255,laurenjank,0.768,2,maps
256,laurenjank,0.768,2,maps
257,lennwgs,0.01,2,maps
258,lennwgs,0.01,2,maps
259,littlex2015,0.01,2,maps
260,littlex2015,0.01,2,maps
261,nbraunec,0.01,2,maps
262,nbraunec,0.01,2,maps
263,noah-curran,0.01,2,maps
264,noah-curran,0.01,2,maps
265,zhao744,0.716,2,maps
266,zhao744,0.716,2,maps
267,AkaGar,1.008,2,charts
268,AkaGar,1.008,2,charts
269,AkaGar,0.01,2,complete
270,AkaGar,0.01,2,complete
271,CampbellC2,0.738,2,complete
272,CampbellC2,0.738,2,complete
273,GeoffYart,0.724,2,complete
274,GeoffYart,0.724,2,complete
275,Ilyumzhinov,0.01,2,complete
276,Ilyumzhinov,0.01,2,complete
277,Jordan-Loeser,0.471,2,complete
278,Jordan-Loeser,0.471,2,complete
279,LukasMMarinovic,0.325,2,complete
280,LukasMMarinovic,0.325,2,complete
281,RCODI,0.684,2,complete
282,RCODI,0.684,2,complete
283,SionHu,0.01,2,complete
284,SionHu,0.01,2,complete
285,aclipfel,0.01,2,complete
286,aclipfel,0.01,2,complete
287,bzin22,0.129,2,complete
288,bzin22,0.129,2,complete
289,ecottle,0.235,2,complete
290,ecottle,0.235,2,complete
291,gshowal,0.107,2,complete
292,gshowal,0.107,2,complete
293,hihms,0.01,2,complete
294,hihms,0.01,2,complete
295,jmamaril25,0.097,2,complete
296,jmamaril25,0.097,2,complete
297,jmhunter4711,0.01,2,complete
298,jmhunter4711,0.01,2,complete
299,ko68,0.01,2,complete
300,ko68,0.01,2,complete
301,laurarotger,0.01,2,complete
302,laurarotger,0.01,2,complete
303,laurenjank,0.661,2,complete
304,laurenjank,0.661,2,complete
305,lennwgs,0.01,2,complete
306,lennwgs,0.01,2,complete
307,littlex2015,0.001,2,complete
308,littlex2015,0.001,2,complete
309,matson3,0.711,2,complete
310,matson3,0.711,2,complete
311,mdecloedt,0.739,2,complete
312,mdecloedt,0.739,2,complete
313,nbraunec,0.029,2,complete
314,nbraunec,0.029,2,complete
315,noah-curran,0.003,2,complete
316,noah-curran,0.003,2,complete
317,sanjitsama,0.423,2,complete
318,sanjitsama,0.423,2,complete
319,shivans,0.01,2,complete
320,shivans,0.01,2,complete
321,snugghash,0.411,2,complete
322,snugghash,0.411,2,complete
323,viswapurdue,0.635,2,complete
324,viswapurdue,0.635,2,complete
325,whipplem123,0.047,2,complete
326,whipplem123,0.047,2,complete
327,zhao744,0.084,2,complete
328,zhao744,0.084,2,complete
329,AkaGar,0.01,2,simple
330,AkaGar,0.01,2,simple
331,CampbellC2,0.737,2,simple
332,CampbellC2,0.737,2,simple
333,GeoffYart,0.644,2,simple
334,GeoffYart,0.644,2,simple
