,user1,user2,user1_phase,user2_phase,similarity,temp,stage,dist_search,type
6663,nbraunec,nbraunec,3,4,0.2,1,3,0.8,data
6791,hihms,hihms,3,4,1.0,1,3,0.0,data
6919,zhao744,zhao744,3,4,1.0,1,3,0.0,data
7045,ko68,ko68,3,4,0.4,1,3,0.6,data
7171,gshowal,gshowal,3,4,1.0,1,3,0.0,data
7295,Nigogu,Nigogu,3,4,0.0,1,3,1.0,data
7418,daapinzonch,daapinzonch,3,4,0.0,1,3,1.0,data
7781,olimita,olimita,3,4,0.0,1,3,1.0,data
7900,Joacampora,Joacampora,3,4,0.16666666666666666,1,3,0.8333333333333334,data
8019,LauraMolina,LauraMolina,3,4,1.0,1,3,0.0,data
8136,evilcucaracha,evilcucaracha,3,4,1.0,1,3,0.0,data
8252,JulianM96,JulianM96,3,4,1.0,1,3,0.0,data
8367,cglaitong,cglaitong,3,4,0.8333333333333334,1,3,0.16666666666666663,data
8594,alejosaur,alejosaur,3,4,0.5714285714285714,1,3,0.4285714285714286,data
8706,garayf,garayf,3,4,1.0,1,3,0.0,data
8817,sebcamacho1703,sebcamacho1703,3,4,0.0,1,3,1.0,data
8927,xFortich,xFortich,3,4,0.2,1,3,0.8,data
9036,davideperdomo,davideperdomo,3,4,0.25,1,3,0.75,data
9144,ayperezc,ayperezc,3,4,0.0,1,3,1.0,data
9251,anferoar96,anferoar96,3,4,1.0,1,3,0.0,data
9357,trickyjuggler,trickyjuggler,3,4,0.75,1,3,0.25,data
9462,casc3798,casc3798,3,4,1.0,1,3,0.0,data
9566,jsalcinar,jsalcinar,3,4,1.0,1,3,0.0,data
9669,Anvido,Anvido,3,4,0.3333333333333333,1,3,0.6666666666666667,data
9772,federgolo,federgolo,3,4,0.25,1,3,0.75,data
9973,pahigueraf,pahigueraf,3,4,0.375,1,3,0.625,data
10072,mdecloedt,mdecloedt,4,5,0.0,1,4,1.0,data
10170,Jordan-Loeser,Jordan-Loeser,4,5,0.0,1,4,1.0,data
10267,LukasMMarinovic,LukasMMarinovic,4,5,1.0,1,4,0.0,data
10363,whipplem123,whipplem123,4,5,1.0,1,4,0.0,data
10458,jmamaril25,jmamaril25,4,5,0.08333333333333333,1,4,0.9166666666666666,data
10552,viswapurdue,viswapurdue,4,5,1.0,1,4,0.0,data
10646,noah-curran,noah-curran,4,5,1.0,1,4,0.0,data
10738,bzin22,bzin22,4,5,1.0,1,4,0.0,data
10829,AkaGar,AkaGar,4,5,0.14285714285714285,1,4,0.8571428571428572,data
10919,matson3,matson3,4,5,1.0,1,4,0.0,data
11008,ecottle,ecottle,4,5,1.0,1,4,0.0,data
11096,littlex2015,littlex2015,4,5,0.0,1,4,1.0,data
11269,hihms,hihms,4,5,1.0,1,4,0.0,data
11354,snugghash,snugghash,4,5,0.5,1,4,0.5,data
11438,zhao744,zhao744,4,5,1.0,1,4,0.0,data
11521,ko68,ko68,4,5,0.16666666666666666,1,4,0.8333333333333334,data
11603,GeoffYart,GeoffYart,4,5,0.6666666666666666,1,4,0.33333333333333337,data
11684,gshowal,gshowal,4,5,1.0,1,4,0.0,data
11764,Nigogu,Nigogu,4,5,0.25,1,4,0.75,data
11843,daapinzonch,daapinzonch,4,5,0.16666666666666666,1,4,0.8333333333333334,data
11923,Orloffyeah,Orloffyeah,4,5,0.0,1,4,1.0,data
12000,DiegoAraque1207,DiegoAraque1207,4,5,1.0,1,4,0.0,data
12076,olimita,olimita,4,5,0.5,1,4,0.5,data
12151,Joacampora,Joacampora,4,5,1.0,1,4,0.0,data
12299,LauraMolina,LauraMolina,4,5,1.0,1,4,0.0,data
12442,JulianM96,JulianM96,4,5,1.0,1,4,0.0,data
12512,cglaitong,cglaitong,4,5,0.625,1,4,0.375,data
12581,DaniCastel,DaniCastel,4,5,0.0,1,4,1.0,data
12649,alejosaur,alejosaur,4,5,0.5,1,4,0.5,data
12717,garayf,garayf,4,5,0.6666666666666666,1,4,0.33333333333333337,data
12783,sebcamacho1703,sebcamacho1703,4,5,0.0,1,4,1.0,data
12848,xFortich,xFortich,4,5,0.2,1,4,0.8,data
12913,davideperdomo,davideperdomo,4,5,0.5555555555555556,1,4,0.4444444444444444,data
13037,anferoar96,anferoar96,4,5,1.0,1,4,0.0,data
13098,trickyjuggler,trickyjuggler,4,5,1.0,1,4,0.0,data
13158,casc3798,casc3798,4,5,0.0,1,4,1.0,data
13217,jsalcinar,jsalcinar,4,5,0.2,1,4,0.8,data
13275,Anvido,Anvido,4,5,0.5,1,4,0.5,data
13332,Jufcardenasmo,Jufcardenasmo,4,5,1.0,1,4,0.0,data
13388,federgolo,federgolo,4,5,0.4,1,4,0.6,data
13443,diefrodriguezcha,diefrodriguezcha,4,5,1.0,1,4,0.0,data
13498,pahigueraf,pahigueraf,4,5,0.4444444444444444,1,4,0.5555555555555556,data
