,type,stage,dist_search,Unnamed: 0,user1,user2,user1_phase,user2_phase,similarity,temp
175,complete,3,0.579,,,,,,,
176,complete,3,0.272,,,,,,,
177,complete,3,0.257,,,,,,,
178,complete,3,0.01,,,,,,,
179,complete,3,0.01,,,,,,,
180,complete,3,0.131,,,,,,,
181,complete,3,0.01,,,,,,,
182,complete,3,0.59,,,,,,,
183,complete,3,0.671,,,,,,,
184,complete,3,0.01,,,,,,,
185,complete,3,0.01,,,,,,,
186,complete,3,0.01,,,,,,,
187,complete,3,0.01,,,,,,,
188,complete,3,0.01,,,,,,,
189,complete,4,0.664,,,,,,,
190,complete,4,0.539,,,,,,,
191,complete,4,0.494,,,,,,,
192,complete,4,0.01,,,,,,,
193,complete,4,0.01,,,,,,,
194,complete,4,0.085,,,,,,,
195,complete,4,0.539,,,,,,,
196,complete,4,0.323,,,,,,,
197,complete,4,0.01,,,,,,,
198,complete,4,0.01,,,,,,,
199,complete,4,0.01,,,,,,,
200,complete,4,0.119,,,,,,,
201,complete,4,0.875,,,,,,,
202,complete,4,0.242,,,,,,,
203,complete,4,0.348,,,,,,,
204,complete,4,0.01,,,,,,,
205,complete,4,0.672,,,,,,,
206,complete,4,0.131,,,,,,,
207,complete,4,0.01,,,,,,,
208,complete,4,0.59,,,,,,,
209,complete,4,0.01,,,,,,,
210,complete,4,0.304,,,,,,,
211,complete,4,0.01,,,,,,,
212,complete,4,0.01,,,,,,,
213,complete,4,0.01,,,,,,,
214,complete,4,0.01,,,,,,,
215,complete,1,0.01,,,,,,,
216,complete,1,0.266,,,,,,,
217,complete,1,0.595,,,,,,,
218,complete,1,0.01,,,,,,,
219,complete,1,0.488,,,,,,,
220,complete,1,0.676,,,,,,,
221,complete,1,0.01,,,,,,,
222,complete,1,0.64,,,,,,,
223,complete,1,0.01,,,,,,,
224,complete,1,0.183,,,,,,,
225,complete,1,0.708,,,,,,,
226,complete,1,0.801,,,,,,,
227,complete,1,0.01,,,,,,,
228,complete,1,0.01,,,,,,,
229,complete,1,0.01,,,,,,,
230,complete,1,0.881,,,,,,,
231,complete,1,0.634,,,,,,,
232,complete,1,0.725,,,,,,,
233,complete,1,0.089,,,,,,,
234,complete,1,0.094,,,,,,,
235,complete,1,0.163,,,,,,,
236,complete,1,0.184,,,,,,,
237,complete,1,0.01,,,,,,,
238,complete,1,0.008,,,,,,,
239,complete,1,0.676,,,,,,,
240,complete,1,0.555,,,,,,,
241,complete,1,0.696,,,,,,,
242,complete,1,0.374,,,,,,,
243,complete,1,0.135,,,,,,,
244,complete,2,0.731,,,,,,,
245,complete,2,0.813,,,,,,,
246,complete,2,0.595,,,,,,,
247,complete,2,0.55,,,,,,,
248,complete,2,0.01,,,,,,,
249,complete,2,0.718,,,,,,,
250,complete,2,0.612,,,,,,,
251,complete,2,0.635,,,,,,,
252,complete,2,0.531,,,,,,,
253,complete,2,0.251,,,,,,,
254,complete,2,0.821,,,,,,,
255,complete,2,0.514,,,,,,,
256,complete,2,0.809,,,,,,,
257,complete,2,0.01,,,,,,,
258,complete,2,0.66,,,,,,,
259,complete,2,0.041,,,,,,,
260,complete,2,0.145,,,,,,,
261,complete,2,0.724,,,,,,,
262,complete,2,0.715,,,,,,,
263,complete,2,0.01,,,,,,,
264,complete,2,0.006,,,,,,,
265,complete,2,0.257,,,,,,,
266,complete,2,0.01,,,,,,,
267,complete,2,0.01,,,,,,,
268,complete,2,0.016,,,,,,,
269,complete,2,0.886,,,,,,,
270,complete,2,0.006,,,,,,,
271,complete,2,0.062,,,,,,,
272,complete,2,0.017,,,,,,,
273,complete,3,0.928,,,,,,,
274,complete,3,0.001,,,,,,,
275,complete,3,0.01,,,,,,,
276,complete,3,0.01,,,,,,,
277,complete,3,0.01,,,,,,,
278,complete,3,0.003,,,,,,,
279,complete,3,0.01,,,,,,,
280,complete,3,0.655,,,,,,,
281,complete,3,0.01,,,,,,,
282,complete,3,0.748,,,,,,,
283,complete,3,0.009,,,,,,,
284,complete,3,0.514,,,,,,,
285,complete,3,0.139,,,,,,,
286,complete,3,0.01,,,,,,,
287,complete,3,0.734,,,,,,,
288,complete,3,0.01,,,,,,,
289,complete,3,0.174,,,,,,,
290,complete,3,0.724,,,,,,,
291,complete,3,0.191,,,,,,,
292,complete,3,0.002,,,,,,,
293,complete,3,0.138,,,,,,,
294,complete,3,0.093,,,,,,,
295,complete,3,0.01,,,,,,,
296,complete,3,0.003,,,,,,,
297,complete,3,0.044,,,,,,,
298,complete,3,0.401,,,,,,,
299,complete,3,0.01,,,,,,,
300,complete,3,0.329,,,,,,,
301,complete,3,0.003,,,,,,,
302,complete,4,0.712,,,,,,,
303,complete,4,0.01,,,,,,,
304,complete,4,0.903,,,,,,,
305,complete,4,0.01,,,,,,,
306,complete,4,0.01,,,,,,,
307,complete,4,0.127,,,,,,,
308,complete,4,0.549,,,,,,,
309,complete,4,0.684,,,,,,,
310,complete,4,0.01,,,,,,,
311,complete,4,0.063,,,,,,,
312,complete,4,0.156,,,,,,,
313,complete,4,0.759,,,,,,,
314,complete,4,0.01,,,,,,,
315,complete,4,0.01,,,,,,,
316,complete,4,0.146,,,,,,,
317,complete,4,0.524,,,,,,,
318,complete,4,0.735,,,,,,,
319,complete,4,0.01,,,,,,,
320,complete,4,0.085,,,,,,,
321,complete,4,0.01,,,,,,,
322,complete,4,0.152,,,,,,,
323,complete,4,0.138,,,,,,,
324,complete,4,0.01,,,,,,,
325,complete,4,0.009,,,,,,,
326,complete,4,0.017,,,,,,,
327,complete,4,0.191,,,,,,,
328,complete,4,0.585,,,,,,,
329,complete,4,0.001,,,,,,,
330,complete,4,0.007,,,,,,,
331,complete,1,0.607,,,,,,,
332,complete,1,0.878,,,,,,,
333,complete,1,0.674,,,,,,,
334,complete,1,0.273,,,,,,,
335,complete,1,0.001,,,,,,,
336,complete,1,0.506,,,,,,,
337,complete,1,0.674,,,,,,,
338,complete,1,0.057,,,,,,,
339,complete,1,0.436,,,,,,,
340,complete,1,0.876,,,,,,,
341,complete,1,0.228,,,,,,,
342,complete,1,0.674,,,,,,,
343,complete,1,0.674,,,,,,,
344,complete,2,0.608,,,,,,,
345,complete,2,0.36,,,,,,,
346,complete,2,0.674,,,,,,,
347,complete,2,0.252,,,,,,,
348,complete,2,0.01,,,,,,,
349,complete,2,0.773,,,,,,,
350,complete,2,0.674,,,,,,,
351,complete,2,0.205,,,,,,,
352,complete,2,0.591,,,,,,,
353,complete,2,0.761,,,,,,,
354,complete,2,0.165,,,,,,,
355,complete,2,0.674,,,,,,,
356,complete,2,0.674,,,,,,,
357,complete,3,0.383,,,,,,,
358,complete,3,0.674,,,,,,,
359,complete,3,0.797,,,,,,,
360,complete,3,0.674,,,,,,,
361,complete,3,0.291,,,,,,,
362,complete,3,0.248,,,,,,,
363,complete,3,0.99,,,,,,,
364,complete,3,0.712,,,,,,,
365,complete,3,0.01,,,,,,,
366,complete,3,0.392,,,,,,,
367,complete,3,0.674,,,,,,,
368,complete,3,0.211,,,,,,,
369,complete,3,0.417,,,,,,,
370,complete,3,0.713,,,,,,,
371,complete,3,0.53,,,,,,,
372,complete,3,0.355,,,,,,,
373,complete,3,0.646,,,,,,,
374,complete,3,0.674,,,,,,,
375,complete,3,0.542,,,,,,,
376,complete,3,0.674,,,,,,,
377,complete,3,0.671,,,,,,,
378,complete,4,0.537,,,,,,,
379,complete,4,0.01,,,,,,,
380,complete,4,0.29,,,,,,,
381,complete,4,0.01,,,,,,,
382,complete,4,0.066,,,,,,,
383,complete,4,0.218,,,,,,,
384,complete,4,0.99,,,,,,,
385,complete,4,0.001,,,,,,,
386,complete,4,0.01,,,,,,,
387,complete,4,0.278,,,,,,,
388,complete,4,0.01,,,,,,,
389,complete,4,0.01,,,,,,,
390,complete,4,0.347,,,,,,,
391,complete,4,0.228,,,,,,,
392,complete,4,0.506,,,,,,,
393,complete,4,0.818,,,,,,,
394,complete,4,0.01,,,,,,,
395,complete,4,0.01,,,,,,,
396,complete,4,0.506,,,,,,,
397,complete,4,0.01,,,,,,,
398,complete,4,0.409,,,,,,,
399,complete,1,0.635,,,,,,,
400,complete,1,0.529,,,,,,,
401,complete,1,0.762,,,,,,,
402,complete,1,0.5,,,,,,,
403,complete,1,0.043,,,,,,,
404,complete,1,0.316,,,,,,,
405,complete,1,0.821,,,,,,,
406,complete,1,0.462,,,,,,,
407,complete,1,0.01,,,,,,,
408,complete,1,0.908,,,,,,,
409,complete,1,0.528,,,,,,,
410,complete,1,0.796,,,,,,,
411,complete,1,0.014,,,,,,,
412,complete,1,0.403,,,,,,,
413,complete,1,0.01,,,,,,,
414,complete,1,0.002,,,,,,,
415,complete,1,0.01,,,,,,,
416,complete,1,0.283,,,,,,,
417,complete,1,0.699,,,,,,,
418,complete,1,0.578,,,,,,,
419,complete,1,0.676,,,,,,,
420,complete,1,0.838,,,,,,,
421,complete,1,0.653,,,,,,,
422,complete,1,0.278,,,,,,,
423,complete,1,0.605,,,,,,,
424,complete,1,0.734,,,,,,,
425,complete,1,0.31,,,,,,,
426,complete,1,0.64,,,,,,,
427,complete,1,0.011,,,,,,,
428,complete,1,0.489,,,,,,,
429,complete,2,0.01,,,,,,,
430,complete,2,0.738,,,,,,,
431,complete,2,0.724,,,,,,,
432,complete,2,0.01,,,,,,,
433,complete,2,0.471,,,,,,,
434,complete,2,0.325,,,,,,,
435,complete,2,0.684,,,,,,,
436,complete,2,0.01,,,,,,,
437,complete,2,0.01,,,,,,,
438,complete,2,0.129,,,,,,,
439,complete,2,0.235,,,,,,,
440,complete,2,0.107,,,,,,,
441,complete,2,0.01,,,,,,,
442,complete,2,0.097,,,,,,,
443,complete,2,0.01,,,,,,,
444,complete,2,0.01,,,,,,,
445,complete,2,0.01,,,,,,,
446,complete,2,0.661,,,,,,,
447,complete,2,0.01,,,,,,,
448,complete,2,0.001,,,,,,,
449,complete,2,0.711,,,,,,,
450,complete,2,0.739,,,,,,,
451,complete,2,0.029,,,,,,,
452,complete,2,0.003,,,,,,,
453,complete,2,0.423,,,,,,,
454,complete,2,0.01,,,,,,,
455,complete,2,0.411,,,,,,,
456,complete,2,0.635,,,,,,,
457,complete,2,0.047,,,,,,,
458,complete,2,0.084,,,,,,,
459,complete,3,0.773,,,,,,,
460,complete,3,0.519,,,,,,,
461,complete,3,0.01,,,,,,,
462,complete,3,0.012,,,,,,,
463,complete,3,0.01,,,,,,,
464,complete,3,0.539,,,,,,,
465,complete,3,0.01,,,,,,,
466,complete,3,0.01,,,,,,,
467,complete,3,0.245,,,,,,,
468,complete,3,0.588,,,,,,,
469,complete,3,0.01,,,,,,,
470,complete,3,0.003,,,,,,,
471,complete,3,0.494,,,,,,,
472,complete,3,0.01,,,,,,,
473,complete,3,0.002,,,,,,,
474,complete,3,0.01,,,,,,,
475,complete,3,0.01,,,,,,,
476,complete,3,0.01,,,,,,,
477,complete,3,0.656,,,,,,,
478,complete,3,0.005,,,,,,,
479,complete,3,0.211,,,,,,,
480,complete,3,0.09,,,,,,,
481,complete,3,0.01,,,,,,,
482,complete,3,0.423,,,,,,,
483,complete,3,0.01,,,,,,,
484,complete,3,0.01,,,,,,,
485,complete,3,0.654,,,,,,,
486,complete,3,0.082,,,,,,,
487,complete,3,0.06,,,,,,,
488,complete,4,0.449,,,,,,,
489,complete,4,0.01,,,,,,,
490,complete,4,0.001,,,,,,,
491,complete,4,0.281,,,,,,,
492,complete,4,0.242,,,,,,,
493,complete,4,0.01,,,,,,,
494,complete,4,0.063,,,,,,,
495,complete,4,0.01,,,,,,,
496,complete,4,0.005,,,,,,,
497,complete,4,0.199,,,,,,,
498,complete,4,0.01,,,,,,,
499,complete,4,0.134,,,,,,,
500,complete,4,0.01,,,,,,,
501,complete,4,0.01,,,,,,,
502,complete,4,0.1,,,,,,,
503,complete,4,0.109,,,,,,,
504,complete,4,0.527,,,,,,,
505,complete,4,0.128,,,,,,,
506,complete,4,0.544,,,,,,,
507,complete,4,0.01,,,,,,,
508,complete,4,0.748,,,,,,,
509,complete,4,0.001,,,,,,,
510,complete,4,0.013,,,,,,,
511,novel,1,0.99,7.0,jmamaril25,jmamaril25,1.0,2.0,0.0,1.0
512,novel,1,0.01,182.0,hihms,hihms,1.0,2.0,1.0,1.0
513,novel,1,0.99,354.0,ko68,ko68,1.0,2.0,0.0,1.0
514,novel,1,0.99,524.0,Nigogu,Nigogu,1.0,2.0,0.0,1.0
515,novel,1,0.99,700.0,alejosaur,alejosaur,1.0,2.0,0.0,1.0
516,novel,1,0.99,876.0,pahigueraf,pahigueraf,1.0,2.0,0.0,1.0
517,novel,2,0.01,1044.0,mdecloedt,mdecloedt,2.0,3.0,1.0,1.0
518,novel,2,0.6666666666666667,1210.0,Jordan-Loeser,Jordan-Loeser,2.0,3.0,0.3333333333333333,1.0
519,novel,2,0.4444444444444444,1376.0,jmamaril25,jmamaril25,2.0,3.0,0.5555555555555556,1.0
520,novel,2,0.01,1540.0,noah-curran,noah-curran,2.0,3.0,1.0,1.0
521,novel,2,0.01,1705.0,matson3,matson3,2.0,3.0,1.0,1.0
522,novel,2,0.01,1868.0,littlex2015,littlex2015,2.0,3.0,1.0,1.0
523,novel,2,0.01,2030.0,hihms,hihms,2.0,3.0,1.0,1.0
524,novel,2,0.01,2190.0,zhao744,zhao744,2.0,3.0,1.0,1.0
525,novel,2,0.99,2349.0,ko68,ko68,2.0,3.0,0.0,1.0
526,novel,2,0.01,2508.0,Nigogu,Nigogu,2.0,3.0,1.0,1.0
527,novel,2,0.99,2977.0,olimita,olimita,2.0,3.0,0.0,1.0
528,novel,2,0.01,3284.0,LauraMolina,LauraMolina,2.0,3.0,1.0,1.0
529,novel,2,0.4285714285714286,3438.0,cglaitong,cglaitong,2.0,3.0,0.5714285714285714,1.0
530,novel,2,0.8571428571428572,3589.0,BrandonAvilanR,BrandonAvilanR,2.0,3.0,0.1428571428571428,1.0
531,novel,2,0.1999999999999999,3739.0,alejosaur,alejosaur,2.0,3.0,0.8,1.0
532,novel,2,0.99,3888.0,garayf,garayf,2.0,3.0,0.0,1.0
533,novel,2,0.99,4037.0,xFortich,xFortich,2.0,3.0,0.0,1.0
534,novel,2,0.75,4184.0,davideperdomo,davideperdomo,2.0,3.0,0.25,1.0
535,novel,2,0.8333333333333334,4332.0,trickyjuggler,trickyjuggler,2.0,3.0,0.1666666666666666,1.0
536,novel,2,0.99,4478.0,jsalcinar,jsalcinar,2.0,3.0,0.0,1.0
537,novel,2,0.01,4622.0,Anvido,Anvido,2.0,3.0,1.0,1.0
538,novel,2,0.99,4765.0,federgolo,federgolo,2.0,3.0,0.0,1.0
539,novel,2,0.8333333333333334,5048.0,pahigueraf,pahigueraf,2.0,3.0,0.1666666666666666,1.0
540,novel,3,0.99,5326.0,mdecloedt,mdecloedt,3.0,4.0,0.0,1.0
541,novel,3,0.99,5464.0,Jordan-Loeser,Jordan-Loeser,3.0,4.0,0.0,1.0
