,user1,user2,user1_phase,user2_phase,similarity,temp,stage,dist_search,type
45061,bsdiaza,bsdiaza,1,2,1.0,1,1,0.01,data
45509,casc3798,casc3798,1,2,1.0,1,1,0.01,data
45956,jsalcinar,jsalcinar,1,2,0.0,1,1,0.99,data
46402,Anvido,Anvido,1,2,0.0,1,1,0.99,data
46847,Jufcardenasmo,Jufcardenasmo,1,2,1.0,1,1,0.01,data
47291,federgolo,federgolo,1,2,0.0,1,1,0.99,data
47734,serbatero,serbatero,1,2,1.0,1,1,0.01,data
48176,GabrielUnal,GabrielUnal,1,2,1.0,1,1,0.01,data
48617,diefrodriguezcha,diefrodriguezcha,1,2,1.0,1,1,0.01,data
49057,adcorredorm,adcorredorm,1,2,0.0,1,1,0.99,data
49496,jdgaitanf,jdgaitanf,1,2,1.0,1,1,0.01,data
49934,pahigueraf,pahigueraf,1,2,1.0,1,1,0.01,data
50371,RafaelCruz15,RafaelCruz15,1,2,1.0,1,1,0.01,data
50807,gimg1859,gimg1859,1,2,1.0,1,1,0.01,data
51242,jannMorenoJ,jannMorenoJ,1,2,0.0,1,1,0.99,data
51676,dahrojasca,dahrojasca,1,2,1.0,1,1,0.01,data
52109,FredyRosero,FredyRosero,1,2,1.0,1,1,0.01,data
52541,mdecloedt,mdecloedt,2,3,1.0,1,2,0.01,data
52972,Jordan-Loeser,Jordan-Loeser,2,3,0.8709677419354839,1,2,0.12903225806451613,data
53402,LukasMMarinovic,LukasMMarinovic,2,3,0.0,1,2,0.99,data
53831,whipplem123,whipplem123,2,3,1.0,1,2,0.01,data
54259,SionHu,SionHu,2,3,1.0,1,2,0.01,data
54686,jmamaril25,jmamaril25,2,3,0.9743589743589743,1,2,0.02564102564102566,data
55112,lennwgs,lennwgs,2,3,1.0,1,2,0.01,data
55537,viswapurdue,viswapurdue,2,3,1.0,1,2,0.01,data
55961,CampbellC2,CampbellC2,2,3,1.0,1,2,0.01,data
56384,noah-curran,noah-curran,2,3,1.0,1,2,0.01,data
56806,laurenjank,laurenjank,2,3,1.0,1,2,0.01,data
57227,bzin22,bzin22,2,3,0.0,1,2,0.99,data
57647,AkaGar,AkaGar,2,3,0.0,1,2,0.99,data
58066,matson3,matson3,2,3,1.0,1,2,0.01,data
58484,ecottle,ecottle,2,3,0.0,1,2,0.99,data
58901,littlex2015,littlex2015,2,3,1.0,1,2,0.01,data
59317,shivans,shivans,2,3,1.0,1,2,0.01,data
59732,nbraunec,nbraunec,2,3,0.0,1,2,0.99,data
60146,sanjitsama,sanjitsama,2,3,1.0,1,2,0.01,data
60559,Ilyumzhinov,Ilyumzhinov,2,3,1.0,1,2,0.01,data
60971,hihms,hihms,2,3,1.0,1,2,0.01,data
61382,snugghash,snugghash,2,3,1.0,1,2,0.01,data
61792,zhao744,zhao744,2,3,1.0,1,2,0.01,data
62201,aclipfel,aclipfel,2,3,1.0,1,2,0.01,data
62609,ko68,ko68,2,3,0.5714285714285714,1,2,0.4285714285714286,data
63016,GeoffYart,GeoffYart,2,3,1.0,1,2,0.01,data
63827,Nigogu,Nigogu,2,3,1.0,1,2,0.01,data
64231,Daryhez,Daryhez,2,3,1.0,1,2,0.01,data
64634,daapinzonch,daapinzonch,2,3,0.0,1,2,0.99,data
65036,fewilchesc,fewilchesc,2,3,1.0,1,2,0.01,data
65437,JorgeTorresC,JorgeTorresC,2,3,1.0,1,2,0.01,data
65837,anythinglord,anythinglord,2,3,0.0,1,2,0.99,data
66236,criscapunal,criscapunal,2,3,0.0,1,2,0.99,data
66634,dieguischa,dieguischa,2,3,0.0,1,2,0.99,data
67031,Orloffyeah,Orloffyeah,2,3,0.0,1,2,0.99,data
67427,SergioLopez40,SergioLopez40,2,3,1.0,1,2,0.01,data
67822,DiegoAraque1207,DiegoAraque1207,2,3,1.0,1,2,0.01,data
68216,olimita,olimita,2,3,0.68,1,2,0.31999999999999995,data
68609,yaochoal,yaochoal,2,3,1.0,1,2,0.01,data
69001,Gavnic,Gavnic,2,3,1.0,1,2,0.01,data
69392,Joacampora,Joacampora,2,3,0.0,1,2,0.99,data
69782,Ozai98,Ozai98,2,3,1.0,1,2,0.01,data
70171,nviverosb,nviverosb,2,3,0.0,1,2,0.99,data
70559,Sariilan,Sariilan,2,3,1.0,1,2,0.01,data
70946,Alekzu,Alekzu,2,3,1.0,1,2,0.01,data
71332,vvargasd,vvargasd,2,3,1.0,1,2,0.01,data
71717,biherrerap,biherrerap,2,3,1.0,1,2,0.01,data
72101,bfprietoc,bfprietoc,2,3,1.0,1,2,0.01,data
72484,LauraMolina,LauraMolina,2,3,1.0,1,2,0.01,data
72866,Acreed21,Acreed21,2,3,1.0,1,2,0.01,data
73247,Camiioo,Camiioo,2,3,1.0,1,2,0.01,data
73627,frnkbs,frnkbs,2,3,1.0,1,2,0.01,data
74006,Jfcastroh,Jfcastroh,2,3,1.0,1,2,0.01,data
74384,evilcucaracha,evilcucaracha,2,3,0.0,1,2,0.99,data
74761,JulianM96,JulianM96,2,3,0.0,1,2,0.99,data
75137,Saariasba,Saariasba,2,3,1.0,1,2,0.01,data
75512,tres-iqus,tres-iqus,2,3,1.0,1,2,0.01,data
75886,cglaitong,cglaitong,2,3,1.0,1,2,0.01,data
76259,DaniCastel,DaniCastel,2,3,1.0,1,2,0.01,data
76631,BrandonAvilanR,BrandonAvilanR,2,3,0.5813953488372093,1,2,0.41860465116279066,data
77002,alejosaur,alejosaur,2,3,0.9285714285714286,1,2,0.0714285714285714,data
77372,jaasuarezvi,jaasuarezvi,2,3,1.0,1,2,0.01,data
77741,jdsolanos,jdsolanos,2,3,1.0,1,2,0.01,data
78109,DavidsMartinez,DavidsMartinez,2,3,1.0,1,2,0.01,data
78476,Biopeligro,Biopeligro,2,3,1.0,1,2,0.01,data
78842,garayf,garayf,2,3,0.8095238095238095,1,2,0.19047619047619047,data
79207,jaleonro,jaleonro,2,3,1.0,1,2,0.01,data
79571,facuellarg,facuellarg,2,3,1.0,1,2,0.01,data
79934,Caadiazsi,Caadiazsi,2,3,1.0,1,2,0.01,data
80296,sebcamacho1703,sebcamacho1703,2,3,0.0,1,2,0.99,data
80657,xFortich,xFortich,2,3,0.7096774193548387,1,2,0.29032258064516125,data
81017,Gusgal03,Gusgal03,2,3,1.0,1,2,0.01,data
81376,Juankmilo97,Juankmilo97,2,3,1.0,1,2,0.01,data
81734,alebautis,alebautis,2,3,1.0,1,2,0.01,data
82091,sarguellesr,sarguellesr,2,3,1.0,1,2,0.01,data
82447,davideperdomo,davideperdomo,2,3,0.6052631578947368,1,2,0.39473684210526316,data
82802,JamerMejiaGarcia,JamerMejiaGarcia,2,3,1.0,1,2,0.01,data
83156,nikolasto,nikolasto,2,3,1.0,1,2,0.01,data
83509,gahormigag,gahormigag,2,3,1.0,1,2,0.01,data
83861,ayperezc,ayperezc,2,3,0.0,1,2,0.99,data
84212,anferoar96,anferoar96,2,3,0.0,1,2,0.99,data
84562,StevenEsmar,StevenEsmar,2,3,1.0,1,2,0.01,data
84911,dcastanedar,dcastanedar,2,3,1.0,1,2,0.01,data
85259,trickyjuggler,trickyjuggler,2,3,0.9,1,2,0.09999999999999998,data
85606,DaveValencia,DaveValencia,2,3,1.0,1,2,0.01,data
85952,csalfonsol,csalfonsol,2,3,1.0,1,2,0.01,data
86297,tres-xxx,tres-xxx,2,3,1.0,1,2,0.01,data
86641,buendiagon,buendiagon,2,3,1.0,1,2,0.01,data
86984,DSFarfanF,DSFarfanF,2,3,1.0,1,2,0.01,data
87326,jssanchezo,jssanchezo,2,3,1.0,1,2,0.01,data
87667,bsdiaza,bsdiaza,2,3,1.0,1,2,0.01,data
88007,casc3798,casc3798,2,3,0.0,1,2,0.99,data
88346,jsalcinar,jsalcinar,2,3,0.45714285714285713,1,2,0.5428571428571429,data
88684,Anvido,Anvido,2,3,1.0,1,2,0.01,data
89021,Jufcardenasmo,Jufcardenasmo,2,3,1.0,1,2,0.01,data
89357,federgolo,federgolo,2,3,0.6538461538461539,1,2,0.34615384615384615,data
89692,serbatero,serbatero,2,3,1.0,1,2,0.01,data
90026,GabrielUnal,GabrielUnal,2,3,1.0,1,2,0.01,data
90359,diefrodriguezcha,diefrodriguezcha,2,3,1.0,1,2,0.01,data
90691,adcorredorm,adcorredorm,2,3,0.0,1,2,0.99,data
91022,jdgaitanf,jdgaitanf,2,3,0.0,1,2,0.99,data
91352,pahigueraf,pahigueraf,2,3,0.7931034482758621,1,2,0.2068965517241379,data
91681,RafaelCruz15,RafaelCruz15,2,3,1.0,1,2,0.01,data
92009,gimg1859,gimg1859,2,3,1.0,1,2,0.01,data
92336,jannMorenoJ,jannMorenoJ,2,3,0.0,1,2,0.99,data
92662,dahrojasca,dahrojasca,2,3,1.0,1,2,0.01,data
92987,FredyRosero,FredyRosero,2,3,1.0,1,2,0.01,data
93311,mdecloedt,mdecloedt,3,4,1.0,1,3,0.01,data
93634,Jordan-Loeser,Jordan-Loeser,3,4,1.0,1,3,0.01,data
93956,LukasMMarinovic,LukasMMarinovic,3,4,1.0,1,3,0.01,data
94277,whipplem123,whipplem123,3,4,0.0,1,3,0.99,data
94597,SionHu,SionHu,3,4,1.0,1,3,0.01,data
94916,jmamaril25,jmamaril25,3,4,0.9487179487179487,1,3,0.05128205128205132,data
95234,lennwgs,lennwgs,3,4,1.0,1,3,0.01,data
95551,viswapurdue,viswapurdue,3,4,0.0,1,3,0.99,data
95867,CampbellC2,CampbellC2,3,4,1.0,1,3,0.01,data
96182,noah-curran,noah-curran,3,4,0.6666666666666666,1,3,0.33333333333333337,data
96496,laurenjank,laurenjank,3,4,1.0,1,3,0.01,data
96809,bzin22,bzin22,3,4,0.7441860465116279,1,3,0.2558139534883721,data
97121,AkaGar,AkaGar,3,4,1.0,1,3,0.01,data
97432,matson3,matson3,3,4,1.0,1,3,0.01,data
97742,ecottle,ecottle,3,4,1.0,1,3,0.01,data
98051,littlex2015,littlex2015,3,4,0.5925925925925926,1,3,0.40740740740740744,data
98359,shivans,shivans,3,4,1.0,1,3,0.01,data
