username,hack id,repo name,time,climate dataset,extra dataset used,extra dataset list,google api,location,using JS,mashup,readme,good readme,chart,if use library,library list,error_raw,error_normal,tech_point_raw,tech_point_normal,tech_per,tech_detail,user_requirement,user_requirement_normal,user_requirement_per,user_detail,infovis,infoVis_normal,infoVis_per,infovis_detail,combined_infovis_raw,combined_infovis_norm,combined_infovis_per,novelty,novelty_normal,novelty_per,novelty_detail,total_raw,total_norm,total_norm_per
mdecloedt,honors0,IH-Project-2017-mdecloedt_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,,0,0,1,0,1,1,1,1,"angular,",0.06666666666666667,93.33333333333333,6,60,40.74%,"0,0,0,1,0,1,1,1,1,",1,20,40.74%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,55.56%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,70.37%,0,0.0,0.0%,,9,179.42028985507244,59.26%
Jordan-Loeser,honors0,IH-Project-2017-Jordan-Loeser_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,,1,1,1,0,1,1,1,0,,0.01694915254237288,98.30508474576271,7,70,77.78%,"0,1,1,1,0,1,1,1,0,",1,20,40.74%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,55.56%,"1.0,0.0,0.0,1.0,0.0,0.0,",3,13.043478260869565,70.37%,0,0.0,0.0%,,10,194.39204126750184,85.19%
LukasMMarinovic,honors0,IH-Project-2017-LukasMMarinovic_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,,0,0,1,0,1,1,1,1,"bootstrap,",0.018072289156626505,98.19277108433735,6,60,55.56%,"0,0,0,1,0,1,1,1,1,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,55.56%,"1.0,0.0,1.0,0.0,0.0,0.0,",2,8.695652173913043,40.74%,0,0.0,0.0%,,8,175.58407543216344,55.56%
whipplem123,honors0,IH-Project-2017-whipplem123_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,,0,0,1,0,1,1,1,0,,0.0,100.0,5,50,37.04%,"0,0,0,1,0,1,1,1,0,",1,20,40.74%,"1.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",1,4.3478260869565215,22.22%,0,0.0,0.0%,,6,158.69565217391303,37.04%
SionHu,honors0,IH-Project-2017-SionHu_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,,1,0,1,0,1,1,1,0,,0.014492753623188406,98.55072463768117,6,60,59.26%,"0,1,0,1,0,1,1,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,6,158.55072463768118,33.33%
jmamaril25,honors0,IH-Project-2017-jmamaril25_webapp_phase1,Sun Nov  5 20:39:31 2017,1,1,"Required Weather API, ",1,1,1,0,1,1,1,1,"materialize,jquery,",0.0,100.0,9,90,92.59%,"1,1,1,1,0,1,1,1,1,",1,20,40.74%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,55.56%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,70.37%,3,0.6666666666666667,88.89%,"3.0,0.0,0.0,;",15,216.75362318840578,92.59%
lennwgs,honors0,IH-Project-2017-lennwgs_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,,1,1,1,1,0,0,1,1,"bootstrap,",0.022727272727272728,97.72727272727273,7,70,70.37%,"0,1,1,1,1,0,0,1,1,",1,20,40.74%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,55.56%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,70.37%,0,0.0,0.0%,,10,193.81422924901187,81.48%
viswapurdue,honors0,IH-Project-2017-viswapurdue_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,,1,1,1,0,1,1,1,0,,0.014705882352941176,98.52941176470588,7,70,81.48%,"0,1,1,1,0,1,1,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,55.56%,"1.0,0.0,1.0,0.0,0.0,0.0,",2,8.695652173913043,40.74%,0,0.0,0.0%,,9,185.92071611253198,70.37%
CampbellC2,honors0,IH-Project-2017-CampbellC2_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,,0,0,1,0,0,0,1,0,,0.07853403141361257,92.14659685863874,3,30,3.7%,"0,0,0,1,0,0,0,1,0,",3,60,96.3%,"1.0,1.0,0.0,0.0,1.0,",3,16.666666666666664,92.59%,"1.0,1.0,0.0,0.0,0.0,1.0,",6,26.08695652173913,96.3%,0,0.0,0.0%,,9,174.320509902117,48.15%
noah-curran,honors0,IH-Project-2017-noah-curran_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,,0,0,1,0,0,0,1,1,"animate,font-awesome,",0.03076923076923077,96.92307692307692,4,40,22.22%,"0,0,0,1,0,0,0,1,1,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",3,16.666666666666664,92.59%,"2.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,70.37%,0,0.0,0.0%,,7,163.01003344481603,44.44%
laurenjank,honors0,IH-Project-2017-laurenjank_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,,1,1,1,0,1,1,1,0,,0.03896103896103896,96.1038961038961,7,70,62.96%,"0,1,1,1,0,1,1,1,0,",1,20,40.74%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,55.56%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,70.37%,0,0.0,0.0%,,10,192.19085262563522,77.78%
bzin22,honors0,IH-Project-2017-bzin22_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,,0,0,1,0,0,0,1,0,,0.041237113402061855,95.87628865979381,3,30,7.41%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,55.56%,"1.0,0.0,1.0,0.0,0.0,0.0,",2,8.695652173913043,40.74%,0,0.0,0.0%,,5,143.2675930076199,14.81%
AkaGar,honors0,IH-Project-2017-AkaGar_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,,1,1,1,0,1,1,1,1,"bootstrap,d3,jquery,",0.05263157894736842,94.73684210526316,8,80,88.89%,"0,1,1,1,0,1,1,1,1,",1,20,40.74%,"1.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",1,4.3478260869565215,22.22%,0,0.0,0.0%,,9,183.4324942791762,62.96%
matson3,honors0,IH-Project-2017-matson3_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,,1,1,1,0,1,1,1,0,,0.0,100.0,7,70,85.19%,"0,1,1,1,0,1,1,1,0,",1,20,40.74%,"1.0,0.0,0.0,0.0,0.0,",1,5.555555555555555,40.74%,"1.0,0.0,0.0,0.0,0.0,0.0,",2,8.695652173913043,40.74%,0,0.0,0.0%,,9,187.3913043478261,74.07%
ecottle,honors0,IH-Project-2017-ecottle_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,,0,0,1,0,1,1,1,0,,0.02127659574468085,97.87234042553192,5,50,33.33%,"0,0,0,1,0,1,1,1,0,",1,20,40.74%,"1.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",1,4.3478260869565215,22.22%,0,0.0,0.0%,,6,156.56799259944495,25.93%
littlex2015,honors0,IH-Project-2017-littlex2015_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,,1,1,1,0,1,1,1,0,,0.024390243902439025,97.5609756097561,7,70,66.67%,"0,1,1,1,0,1,1,1,0,",1,20,40.74%,"1.0,0.0,0.0,0.0,0.0,",1,5.555555555555555,40.74%,"1.0,0.0,0.0,0.0,0.0,0.0,",2,8.695652173913043,40.74%,0,0.0,0.0%,,9,184.9522799575822,66.67%
shivans,honors0,IH-Project-2017-shivans_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,,0,0,1,0,1,1,1,0,,0.047619047619047616,95.23809523809523,5,50,29.63%,"0,0,0,1,0,1,1,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,55.56%,"1.0,0.0,1.0,0.0,0.0,0.0,",2,8.695652173913043,40.74%,0,0.0,0.0%,,7,162.62939958592133,40.74%
nbraunec,honors0,IH-Project-2017-nbraunec_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,,0,0,1,0,0,0,1,0,,0.03333333333333333,96.66666666666667,3,30,11.11%,"0,0,0,1,0,0,0,1,0,",1,20,40.74%,"1.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",1,4.3478260869565215,22.22%,0,0.0,0.0%,,4,135.36231884057972,7.41%
sanjitsama,honors0,IH-Project-2017-sanjitsama_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,,1,1,1,0,0,0,1,1,"bootstrap,d3,jquery,",0.025974025974025976,97.40259740259741,6,60,48.15%,"0,1,1,1,0,0,0,1,1,",1,20,40.74%,"1.0,0.0,0.0,0.0,0.0,",1,5.555555555555555,40.74%,"1.0,0.0,0.0,0.0,0.0,0.0,",2,8.695652173913043,40.74%,0,0.0,0.0%,,8,174.7939017504235,51.85%
Ilyumzhinov,honors0,IH-Project-2017-Ilyumzhinov_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,,0,0,1,0,1,1,1,0,,0.06060606060606061,93.93939393939394,5,50,25.93%,"0,0,0,1,0,1,1,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,5,143.93939393939394,18.52%
hihms,honors0,IH-Project-2017-hihms_webapp_phase1,Sun Nov  5 20:39:31 2017,0,1,"Required Weather API, ",0,1,1,0,1,1,1,1,"bootstrap,d3,jquery,",0.020224719101123594,97.97752808988764,7,70,74.07%,"0,0,1,1,0,1,1,1,1,",1,20,40.74%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,55.56%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,70.37%,7,1.5555555555555556,96.3%,"3.0,3.0,1.0,;",17,195.6200401671823,88.89%
snugghash,honors0,IH-Project-2017-snugghash_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,,0,0,1,0,1,1,1,1,"materialize,jquery,",0.024691358024691357,97.53086419753086,6,60,51.85%,"0,0,0,1,0,1,1,1,1,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,6,157.53086419753086,29.63%
zhao744,honors0,IH-Project-2017-zhao744_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,,0,0,1,0,1,1,1,1,"bootstrap,jquery,",0.04716981132075472,95.28301886792453,6,60,44.44%,"0,0,0,1,0,1,1,1,1,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,6,155.2830188679245,22.22%
aclipfel,honors0,IH-Project-2017-aclipfel_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,,0,0,1,0,0,0,1,0,,0.03333333333333333,96.66666666666667,3,30,11.11%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,3,126.66666666666667,3.7%
ko68,honors0,IH-Project-2017-ko68_webapp_phase1,Sun Nov  5 20:39:31 2017,1,1,"Required Weather API, ",1,1,1,1,1,1,1,1,"jquery,",0.007042253521126761,99.29577464788733,10,100,96.3%,"1,1,1,1,1,1,1,1,1,",1,20,40.74%,"1.0,0.0,0.0,0.0,0.0,",1,5.555555555555555,40.74%,"0.0,0.0,1.0,0.0,0.0,0.0,",2,8.695652173913043,40.74%,3,0.6666666666666667,88.89%,"3.0,0.0,0.0,;",15,217.35374566238008,96.3%
GeoffYart,honors0,IH-Project-2017-GeoffYart_webapp_phase1,Sun Nov  5 20:39:31 2017,0,0,,0,0,1,0,0,0,1,0,,0.03333333333333333,96.66666666666667,3,30,11.11%,"0,0,0,1,0,0,0,1,0,",1,20,40.74%,"1.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",1,4.3478260869565215,22.22%,0,0.0,0.0%,,4,135.36231884057972,7.41%
