username,hack id,repo name,time,climate dataset,extra dataset used,extra dataset list,google api,location,using JS,mashup,readme,good readme,chart,if use library,library list,error_raw,error_normal,tech_point_raw,tech_point_normal,tech_per,tech_detail,user_requirement,user_requirement_normal,user_requirement_per,user_detail,infovis,infoVis_normal,infoVis_per,infovis_detail,combined_infovis_raw,combined_infovis_norm,combined_infovis_per,novelty,novelty_normal,novelty_per,novelty_detail,total_raw,total_norm,total_norm_per
laurenjank,honors0,IH-Project-2017-laurenjank_webapp_phase4,Fri Nov 17 12:12:48 2017,0,0,,1,1,1,1,0,0,1,1,"jquery,",0.039735099337748346,96.02649006622516,7,70,22.22%,"0,1,1,1,1,0,0,1,1,",1,20,18.52%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,25.93%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,25.93%,0,0.0,0.0%,,10,192.1134465879643,22.22%
bzin22,honors0,IH-Project-2017-bzin22_webapp_phase4,Fri Nov 17 12:12:48 2017,1,3,"Required Weather API, Zillow Home Value Searching API, New York City Farmers Markets, ",1,1,1,1,1,1,1,1,"jquery,materialize,animate,",0.034666666666666665,96.53333333333333,10,100,85.19%,"1,1,1,1,1,1,1,1,1,",1,20,18.52%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,25.93%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,25.93%,10,2.2222222222222223,85.19%,"3.0,0.0,0.0,;3.0,0.0,0.0,;2.0,1.0,1.0,;",23,224.84251207729469,66.67%
AkaGar,honors0,IH-Project-2017-AkaGar_webapp_phase4,Fri Nov 17 12:12:48 2017,0,3,"Neighborhood Tabulation Areas, Housing New York Units by Building, Local Area Unemployment Statistics (LAUS) Seasonally Adjusted Data: Beginning 1976, ",1,1,1,0,1,1,1,1,"three,react,bootstrap,jquery,d3,",0.044444444444444446,95.55555555555556,8,80,40.74%,"0,1,1,1,0,1,1,1,1,",1,20,18.52%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,25.93%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,25.93%,3,0.6666666666666667,29.63%,"0.0,0.0,0.0,;1.0,0.0,0.0,;2.0,0.0,0.0,;",14,202.30917874396133,37.04%
matson3,honors0,IH-Project-2017-matson3_webapp_phase4,Fri Nov 17 12:12:48 2017,1,1,"Required Weather API, ",1,1,1,0,1,1,1,1,"vue,d3,jquery,bootstrap,",0.0003641660597232338,99.96358339402768,9,90,74.07%,"1,1,1,1,0,1,1,1,1,",1,20,18.52%,"1.0,0.0,0.0,0.0,0.0,",1,5.555555555555555,18.52%,"1.0,0.0,0.0,0.0,0.0,0.0,",2,8.695652173913043,18.52%,3,0.6666666666666667,29.63%,"3.0,0.0,0.0,;",14,208.02155440852044,48.15%
ecottle,honors0,IH-Project-2017-ecottle_webapp_phase4,Fri Nov 17 12:12:48 2017,1,1,"Required Weather API, ",1,1,1,0,1,1,1,1,"jquery,",0.11403508771929824,88.59649122807018,9,90,48.15%,"1,1,1,1,0,1,1,1,1,",1,20,18.52%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,25.93%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,25.93%,3,0.6666666666666667,29.63%,"3.0,0.0,0.0,;",15,205.35011441647598,44.44%
littlex2015,honors0,IH-Project-2017-littlex2015_webapp_phase4,Fri Nov 17 12:12:48 2017,1,2,"Zillow Home Value Searching API, Required Weather API, ",1,1,1,1,1,1,1,1,"jquery,d3,",0.004118993135011442,99.58810068649886,10,100,96.3%,"1,1,1,1,1,1,1,1,1,",1,20,18.52%,"1.0,0.0,0.0,0.0,0.0,",3,16.666666666666664,74.07%,"2.0,0.0,1.0,0.0,0.0,0.0,",4,17.391304347826086,74.07%,6,1.3333333333333335,62.96%,"3.0,0.0,0.0,;3.0,0.0,0.0,;",20,235.7040427154844,85.19%
shivans,honors0,IH-Project-2017-shivans_webapp_phase4,Fri Nov 17 12:12:48 2017,0,0,,0,0,1,0,0,0,1,0,,0.03333333333333333,96.66666666666667,3,30,3.7%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,3,126.66666666666667,0.0%
nbraunec,honors0,IH-Project-2017-nbraunec_webapp_phase4,Fri Nov 17 12:12:48 2017,1,5,"New York museum, Alternative Fuel Stations in New York, Zillow Home Value Searching API, Required Weather API, New York neighborhood, ",1,1,1,1,0,0,1,1,"jquery,d3,",0.0019267822736030828,99.8073217726397,8,80,51.85%,"1,1,1,1,1,0,0,1,1,",1,20,18.52%,"1.0,0.0,0.0,0.0,0.0,",5,27.77777777777778,88.89%,"2.0,0.0,2.0,0.0,1.0,0.0,",6,26.08695652173913,85.19%,12,2.666666666666667,88.89%,"1.0,1.0,1.0,;0.0,0.0,0.0,;3.0,0.0,0.0,;3.0,0.0,0.0,;1.0,1.0,1.0,;",26,234.6479014827846,81.48%
sanjitsama,honors0,IH-Project-2017-sanjitsama_webapp_phase4,Fri Nov 17 12:12:48 2017,0,0,,0,0,1,0,0,0,1,0,,0.03333333333333333,96.66666666666667,3,30,3.7%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,3,126.66666666666667,0.0%
Ilyumzhinov,honors0,IH-Project-2017-Ilyumzhinov_webapp_phase4,Fri Nov 17 12:12:48 2017,0,0,,0,0,1,0,0,0,1,0,,0.03333333333333333,96.66666666666667,3,30,3.7%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,3,126.66666666666667,0.0%
hihms,honors0,IH-Project-2017-hihms_webapp_phase4,Fri Nov 17 12:12:48 2017,0,1,"Required Weather API, ",0,1,1,0,1,1,1,1,"bootstrap,jquery,d3,",0.012987012987012988,98.7012987012987,7,70,33.33%,"0,0,1,1,0,1,1,1,1,",1,20,18.52%,"1.0,0.0,0.0,0.0,0.0,",5,27.77777777777778,88.89%,"2.0,0.0,2.0,1.0,0.0,0.0,",6,26.08695652173913,85.19%,6,1.3333333333333335,62.96%,"3.0,2.0,1.0,;",19,222.2085450781103,62.96%
snugghash,honors0,IH-Project-2017-snugghash_webapp_phase4,Fri Nov 17 12:12:48 2017,0,1,"Open.ny.gov API Catalog, ",1,1,1,0,1,1,1,1,"react,jquery,materialize,d3,",0.019417475728155338,98.05825242718447,8,80,44.44%,"0,1,1,1,0,1,1,1,1,",1,20,18.52%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,25.93%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,25.93%,3,0.6666666666666667,29.63%,"3.0,0.0,0.0,;",14,204.81187561559025,40.74%
zhao744,honors0,IH-Project-2017-zhao744_webapp_phase4,Fri Nov 17 12:12:48 2017,1,1,"Required Weather API, ",1,1,1,1,1,1,1,1,"bootstrap,jquery,d3,",0.015151515151515152,98.48484848484848,10,100,88.89%,"1,1,1,1,1,1,1,1,1,",1,20,18.52%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,25.93%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,25.93%,3,0.6666666666666667,29.63%,"3.0,0.0,0.0,;",16,225.23847167325428,70.37%
aclipfel,honors0,IH-Project-2017-aclipfel_webapp_phase4,Fri Nov 17 12:12:48 2017,0,0,,0,0,1,0,0,0,1,0,,0.03333333333333333,96.66666666666667,3,30,3.7%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,3,126.66666666666667,0.0%
ko68,honors0,IH-Project-2017-ko68_webapp_phase4,Fri Nov 17 12:12:48 2017,1,4,"Housing New York Units by Building, Total Housing Units By Occupancy Status And Tenure By Borough, New York City Leading Causes of Death, Required Weather API, ",1,1,1,1,1,1,1,1,"d3,jquery,bootstrap,",0.005657708628005658,99.43422913719944,10,100,92.59%,"1,1,1,1,1,1,1,1,1,",1,20,18.52%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,25.93%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,25.93%,7,1.5555555555555556,74.07%,"1.0,0.0,0.0,;2.0,0.0,0.0,;1.0,0.0,0.0,;3.0,0.0,0.0,;",20,227.07674121449412,74.07%
GeoffYart,honors0,IH-Project-2017-GeoffYart_webapp_phase4,Fri Nov 17 12:12:48 2017,1,8,"Required Weather API, School Safety Report, New York State Career Centers, Air Quality, New York neighborhood, New York City Museums, New York Safety, New York City Farmers Markets, ",1,1,1,1,1,1,1,1,"jquery,bootstrap,",0.04487179487179487,95.51282051282051,10,100,81.48%,"1,1,1,1,1,1,1,1,1,",1,20,18.52%,"1.0,0.0,0.0,0.0,0.0,",3,16.666666666666664,74.07%,"1.0,0.0,2.0,0.0,0.0,0.0,",4,17.391304347826086,74.07%,16,3.5555555555555554,92.59%,"3.0,0.0,0.0,;1.0,0.0,0.0,;3.0,0.0,0.0,;2.0,0.0,0.0,;1.0,0.0,0.0,;1.0,0.0,0.0,;3.0,0.0,0.0,;2.0,0.0,0.0,;",30,233.85098476402823,77.78%
gshowal,honors0,IH-Project-2017-gshowal_webapp_phase4,Fri Nov 17 12:12:48 2017,1,1,"Required Weather API, ",1,1,1,0,1,1,1,1,"jquery,bootstrap,",0.017475728155339806,98.25242718446601,9,90,62.96%,"1,1,1,1,0,1,1,1,1,",1,20,18.52%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,25.93%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,25.93%,3,0.6666666666666667,29.63%,"3.0,0.0,0.0,;",15,215.00605037287178,55.56%
